code	level	localPrefix	name	postCode
11.01.06.2028	4	Gampong	Arafah	23752
11.01.07	3	Kecamatan	Sawang	
11.01.07.2001	4	Gampong	Sikulat	23753
11.01.07.2002	4	Gampong	Sawang I	23753
11.01.07.2003	4	Gampong	Meuligo	23753
11.01.07.2004	4	Gampong	Lhok Pawoh	23753
11.01.07.2005	4	Gampong	Sawang II	23753
11.01.07.2006	4	Gampong	Ujung Karang	23753
11.01.07.2007	4	Gampong	Trieng Meuduro Baroh	23753
11.01.07.2008	4	Gampong	Trieng Meuduro Tunong	23753
11.01.07.2009	4	Gampong	Panton Luas	23753
11.01.07.2010	4	Gampong	Simpang Tiga	23753
11.01.07.2011	4	Gampong	Kuta Baro	23753
11.01.07.2012	4	Gampong	Blang Geulinggang	23753
11.01.07.2013	4	Gampong	Mutiara	23753
11.01.07.2014	4	Gampong	Ujung Padang	23753
11.01.07.2015	4	Gampong	Sawang Ba'u	23753
11.01.08	3	Kecamatan	Tapaktuan	
11.01.08.2001	4	Gampong	Lhok Keutapang	23711
11.01.08.2002	4	Gampong	Hilir	23717
11.01.08.2003	4	Gampong	Padang	23713
11.01.08.2004	4	Gampong	Hulu	23714
11.01.08.2005	4	Gampong	Jambo Apha	23716
11.01.08.2006	4	Gampong	Tepi Air	23712
11.01.08.2007	4	Gampong	Pasar	23711
11.01.08.2008	4	Gampong	Lhok Bengkuang	23715
11.01.08.2009	4	Gampong	Panton Luas	23711
11.01.08.2010	4	Gampong	Gunung Kerambil	23711
11.01.08.2011	4	Gampong	Air Berundang	23711
11.01.08.2012	4	Gampong	Batu Itam	23711
11.01.08.2013	4	Gampong	Panjupian	23711
11.01.08.2014	4	Gampong	Lhok Rukam	23711
11.01.08.2015	4	Gampong	Air Pinang	23711
11.01.08.2016	4	Gampong	Lhok Bengkuang Timur	23712
11.01.09	3	Kecamatan	Trumon	
11.01.09.2001	4	Gampong	Keude Trumon	23774
11.01.09.2002	4	Gampong	Ujong Tanoh	23774
11.01.09.2003	4	Gampong	Sigleng	23774
11.01.09.2004	4	Gampong	Ie Meudama	23774
11.01.09.2005	4	Gampong	Tuepin Tinggi	23774
11.01.09.2006	4	Gampong	Kuta Baro	23774
11.01.09.2007	4	Gampong	Panton Bilie	23774
11.01.09.2012	4	Gampong	Kuta Padang	23774
11.01.09.2013	4	Gampong	Raket	23774
11.01.09.2014	4	Gampong	Teungoh	23774
11.01.09.2015	4	Gampong	Seuneubok Jaya	23774
11.01.09.2016	4	Gampong	Padang Harapan	23774
11.01.10	3	Kecamatan	Pasi Raja	
11.01.10.2001	4	Gampong	Ladang Teungoh	23752
11.01.10.2002	4	Gampong	Pucok Krueng	23752
11.01.10.2003	4	Gampong	Silolo	23752
11.01.10.2004	4	Gampong	Kampung Baru	23752
11.01.10.2005	4	Gampong	Panton Bili	23752
11.01.10.2006	4	Gampong	Paya Ateuk	23752
11.01.10.2007	4	Gampong	Ladang Tuha	23752
11.01.10.2008	4	Gampong	Mata Ie	23752
11.01.10.2009	4	Gampong	Ujong Batee	23752
11.01.10.2010	4	Gampong	Lhok Sialang Cut	23752
11.01.10.2011	4	Gampong	Seuneubok	23752
11.01.10.2012	4	Gampong	Ie Mirah	23752
11.01.10.2013	4	Gampong	Pasie Rasian	23752
11.01.10.2014	4	Gampong	Ujung Padang Rasian	23752
11.01.10.2015	4	Gampong	Krueng Kalee	23752
11.01.10.2016	4	Gampong	Lhok Sialang Rayeuk	23752
11.01.10.2017	4	Gampong	Baro	23752
11.01.10.2018	4	Gampong	Teupin Gajah	23752
11.01.10.2019	4	Gampong	Ujung Padang Asahan	23752
11.01.10.2020	4	Gampong	Pulo Ie II	23752
11.01.10.2021	4	Gampong	Pante Raja	23752
11.01.11	3	Kecamatan	Labuhan Haji Timur	
11.01.11.2001	4	Gampong	Tengah Peulumat	23758
11.01.11.2002	4	Gampong	Paya Peulumat	23758
11.01.11.2003	4	Gampong	Padang Peulumat	23758
11.01.11.2004	4	Gampong	Aur Peulumat	23758
11.01.11.2005	4	Gampong	Limau Saring	23758
11.01.11.2006	4	Gampong	Beutong	23758
11.01.11.2007	4	Gampong	Peuneulop	23758
11.01.11.2008	4	Gampong	Gunung Rotan	23758
11.01.11.2009	4	Gampong	Keumumu Hilir	23758
11.01.11.2010	4	Gampong	Keumumu Hulu	23758
11.01.11.2011	4	Gampong	Keumumu Seberang	23758
11.01.11.2012	4	Gampong	Sawang Indah	23758
11.01.12	3	Kecamatan	Labuhan Haji Barat	
11.01.12.2001	4	Gampong	Tutong	23757
11.01.12.2002	4	Gampong	Teungoh Iboh	23757
11.01.12.2003	4	Gampong	Peulokan	23757
11.01.12.2004	4	Gampong	Kuta Iboh	23757
11.01.12.2005	4	Gampong	Ujung Padang	23757
11.01.12.2006	4	Gampong	Blang Baru	23757
11.01.12.2007	4	Gampong	Blang Poroh	23757
11.01.12.2008	4	Gampong	Pulo Ie	23757
11.01.12.2009	4	Gampong	Suak Lokan	23757
11.01.12.2010	4	Gampong	Iku Lhueng	23757
11.01.12.2011	4	Gampong	Kuta Trieng	23757
11.01.12.2012	4	Gampong	Pante Geulima	23757
11.01.12.2013	4	Gampong	Panton Pawoh	23757
11.01.12.2014	4	Gampong	Batee Meucanang	23757
11.01.12.2015	4	Gampong	Panton Rubek	23757
11.01.13	3	Kecamatan	Kluet Tengah	
11.01.13.2001	4	Gampong	Koto	23772
11.01.13.2002	4	Gampong	Alur Keujrun	23772
11.01.13.2003	4	Gampong	Jambo Papan	23772
11.01.13.2004	4	Gampong	Malaka	23772
11.01.13.2005	4	Gampong	Koto Indarung	23772
11.01.13.2006	4	Gampong	Siurai-Urai	23772
11.01.13.2007	4	Gampong	Kampung Sawah	23772
11.01.13.2008	4	Gampong	Kampung Padang	23772
