65	Kalimantan Utara
.01	Bulungan
:01	Tanjung Palas
1001	Tanjung Palas Hulu
1002	Tanjung Palas Tengah
1003	Tanjung Palas Hilir
1004	Karang Anyar
2005	Gunung Putih
2006	Pejalin
2007	Antutan
2008	Teras Baru
2009	Teras Nawang
:02	Tanjung Palas Barat
2001	Long Beluah
2002	Long Sam
2003	Mara I
2004	Mara Hilir
2005	Long Pari
:03	Tanjung Palas Utara
2001	Karang Agung
2002	Pimping
2003	Panca Agung
2004	Ruhui Rahayu
2005	Ardi Mulyo
2006	Kelubir
:04	Tanjung Palas Timur
2001	Tanah Kuning
2002	Mangkupadi
2003	Sajau
2004	Wonomulyo
2005	Tanjung Agung
2006	Binai
2007	Sajau Hilir
2008	Pura Sajau
:05	Tanjung Selor
1001	Tanjung Selor Hulu
1002	Tanjung Selor Hilir
2003	Jelarai Selor
2004	Gunung Seriang
2005	Bumi Rahayu
2006	Gunung Sari
2007	Apung
1008	Tanjung Selor Timur
2009	Tengkapak
:06	Tanjung Palas Tengah
2001	Salimbatu
2002	Silva Rahayu
2003	Tanjung Buka
:07	Peso
2001	Lepak Aru
2002	Long Lasan
2003	Long Peso
2004	Long Bia
2005	Muara Pangean
2006	Long Lian
2007	Long Pelaah
2008	Long Lejuh
2009	Long Pelban
2010	Long Buang
:08	Peso Hilir
2001	Long Tungu
2002	Long Bang
2003	Long Telenjau
2004	Naha Aya
2005	Long Lembu
2006	Long Bang Hulu
:09	Sekatak
2001	Sekatak Buji
2002	Paru Abang
2003	Bunau
2004	Ujang
2005	Tenggiling
2006	Kelembunan
2007	Turung
2008	Terindak
2009	Kelising
2010	Ambalat
2011	Keriting
2012	Kendari
2013	Bambang
2014	Maritam
2015	Pentian
2016	Punan Dulau
2017	Kelincauan
2018	Bekiliu
2019	Sekatak Bengara
2020	Pungit
2021	Anjar Arip
2022	Liagu
:10	Bunyu
2001	Bunyu Barat
2002	Bunyu Selatan
2003	Bunyu Timur
.02	Malinau
:01	Mentarang
2001	Long Gafid
2002	Long Bisai
2003	Temalang
2004	Long Liku
2005	Pulau Sapi
2006	Paking
2007	Lidung Kemenci
2008	Mentarang Baru
2009	Harapan Maju
:02	Malinau Kota
2001	Batu Lidung
2002	Malinau Kota
2003	Pelita Kanaan
2004	Malinau Hulu
2005	Malinau Hilir
2006	Tanjung Keranjang
:03	Pujungan
2001	Long Pujungan
2002	Long Ketaman
2003	Long Pua
2004	Long Lame
2005	Long Jelet
2006	Long Aran
2007	Long Paliran
2008	Long Bena
2009	Long Belaka Pitau
:04	Kayan Hilir
2001	Data Dian
2002	Long Pipa
2003	Long Sule
2004	Sungai Anai
2005	Long Metun
:05	Kayan Hulu
2001	Long Nawang
2002	Nawang Baru
2003	Long Temuyat
2004	Long Betaoh
2005	Long Payau
:06	Malinau Selatan
2001	Bila Bekayuk
2002	Long Loreh
2003	Langap
2004	Laban Nyarit
2005	Nunuk Tanah Kibang
2006	Pelencau
2007	Paya Seturan
2008	Punan Rian
