75	Gorontalo
.01	Gorontalo
:01	Limboto
1001	Kayubulan
1002	Kayumerah
1003	Hunggaluwa
1004	Bolihuangga
1005	Hepuhulawa
1006	Hutuo
1007	Dutulanaa
1008	Tenilo
1009	Biyonga
1010	Bongohulawa
1011	Bulota
1012	Malahu
1013	Tilihuwa
1014	Polohungo
:02	Telaga
2011	Bulila
2014	Mongolato
2015	Luhu
2016	Hulawa
2017	Pilohayanga
2018	Dulamayo Selatan
2019	Dulamayo Barat
2020	Dulohupa
2021	Pilohayanga Barat
:03	Batudaa
2001	Iluta
2002	Bua
2003	Huntu
2004	Payunga
2012	Barakati
2013	Ilohungayo
2014	Dunggala
2015	Pilobuhuta
:04	Tibawa
2001	Isimu Utara
2002	Isimu Selatan
2003	Datahu
2004	Tolotio
2005	Labanu
2006	Reksonegoro
2007	Buhu
2008	Dunggala
2009	Molowahu
2010	Iloponu
2011	Ilomata
2012	Motilango
2013	Isimu Raya
2014	Balahu
2015	Botumoputi
2016	Ulobua
:05	Batudaa Pantai
2004	Tontayuo
2005	Biluhu Timur
2006	Kayubulan
2007	Bongo
2008	Lopo
2009	Lamu
2012	Olimoo'o
2014	Buhudaa
2015	Langgula
:09	Boliyohuto
2001	Sidomulyo
2004	Parungi
2006	Diloniyohu
2007	Sidodadi
2010	Potanga
2011	Motoduto
2012	Iloheluma
2014	Monggolito
2015	Bandung Rejo
2018	Dulohupa
2019	Sidomulya Selatan
2020	Bongongoayu
2021	Tolite
:10	Telaga Biru
2001	Dulamayo Utara
2002	Ulapato A
2003	Ulapato B
2004	Talumelito
2005	Tuladenggi
2006	Pantungo
2007	Lupoyo
2008	Pentadio Timur
2009	Pentadio Barat
2010	Dumati
2011	Modelidu
2012	Tinelo
2013	Timuato
2014	Tapaluluo
2015	Tonala
:11	Bongomeme
2001	Dulamayo
2008	Upomela
2009	Tohupo
2010	Molanihu
2011	Molopatodu
2012	Molas
2013	Batulayar
2014	Batuloreng
2015	Bongohulawa
2016	Otopade
2018	Huntulo Hulawa
2022	Owalanga
2023	Liyodu
2024	Liyoto
2025	Kayumerah
:13	Tolangohula
2001	Sukamakmur
2002	Lakeya
2003	Gandasari
2004	Molohu
2007	Polohungo
2008	Bina Jaya
2009	Tamaila
2010	Sidoarjo
2013	Sukamakmur Utara
2014	Margomulya
2015	Makmur Abadi
2016	Gandaria
2017	Ombulo Tango
2018	Tamalia Utara
2019	Himalaya
:14	Mootilango
2001	Paris
2002	Helumo
2003	Pilomonu
2004	Satria
2005	Karyamukti
2006	Talumopatu
