2007	Bambapuang
2008	Balla Timur
:13	Nosu
1001	Nosu
2002	Minanga
2003	Batupapan
2004	Masewwe
2005	Siwi
2006	Minanga Timur
2007	Parinding
:14	Tawalian
1001	Tawalian
2002	Tawalian Timur
2003	Kariango
2004	Rantetangnga
:15	Rantebulahan Timur
2001	Salumokanan
2003	Salumokanan Barat
2004	Buangin
2005	Bambang Buda
2006	Leko
2007	Kirak
2008	Salumokanan Utara
2009	Sampale
:16	Buntumalangka
2001	Buntumalangka
2002	Ranteberan
2003	Kebanga
2004	Salurindu
2005	Taora
2006	Kabae
2007	Salutambun Barat
2008	Penatangan
2009	Salutambun Timur
2010	Salutambun
2011	Aralle Timur
:17	Mehalaan
2001	Mehalaan
2002	Botteng
2003	Salukonta
2004	Mesakada
2005	Mehalaan Barat
2006	Saluahok
2007	Salubalo
2008	Passembuk
2009	Kondo
2010	Leko Sukamaju
2011	Ulumea
.04	Polewali Mandar
:01	Tinambung
1001	Tinambung
2002	Karama
2003	Tangnga Tangnga
2004	Lekopadis
2005	Galung Lombok
2006	Tandung
2007	Batulaya
2008	Sepabatu
:02	Campalagian
1001	Pappang
2002	Laliko
2003	Bonde
2004	Katumbangan Lemo
2005	Panyampa
2006	Suruang
2007	Lampoko
2008	Katumbangan
2009	Lapeo
2010	Parappe
2011	Ongko
2012	Kenje
2013	Sumarrang
2014	Botto
2015	Gattungan
2016	Padang Timur
2017	Padang
2018	Lagi-Agi
:03	Wonomulyo
1001	Sidodadi
2002	Sidorejo
2003	Sumberejo
2004	Bumiayu
2005	Kebunsari
2006	Banua Baru
2007	Nepo
2008	Sugihwaras
2009	Campurjo
2010	Bumimulyo
2011	Tumpiling
2012	Bakka-Bakka
2013	Arjo Sari
2014	Galeson
:04	Polewali
1001	Polewali
1002	Wattang
1003	Sulewatang
1004	Lantora
1005	Takatidung
1006	Pekkabata
1007	Madate
1008	Manding
1009	Darma
:05	Tutar
1001	Taramanu
2002	Ambopadang
2003	Tubbi
2004	Ratte
2005	Besoangin
