18	Lampung
.01	Lampung Selatan
:04	Natar
2001	Hajimena
2002	Sidosari
2003	Pemanggilan
2004	Natar
2005	Muara Putih
2006	Negara Ratu
2007	Merak Batin
2008	Tanjung Sari
2009	Bumi Sari
2010	Candi Mas
2011	Branti Raya
2012	Haduyang
2013	Banjar Negeri
2014	Mandah
2015	Rulung Helok
2016	Bandarejo
2017	Suka Damai
2018	Purwosari
2019	Pancasila
2020	Rejosari
2021	Rulung Raya
2022	Krawang Sari
2023	Wai Sari
2024	Kali Sari
2025	Rulung Sari
2026	Rulung Mulya
:05	Tanjung Bintang
2001	Kaliasin
2003	Lematang
2004	Sukanegara
2005	Serdang
2006	Sinar Ogan
2007	Jati Baru
2008	Sabah Balau
2009	Budi Lestari
2010	Trimulyo
2011	Jati Indah
2012	Way Galih
2013	Sindang Sari
2015	Purwodadi Simpang
2021	Galih Lunik
2022	Rejomulyo
2023	Sri Katon
:06	Kalianda
2001	Jondong
2002	Tengkujuh
2003	Pauh Tanjung Iman
2004	Sumur Kumbang
2005	Maja
1006	Bumi Agung
1007	Kalianda
1008	Way Urang
2009	Buah Berak
2010	Kesugihan
2011	Pematang
2012	Kecapi
2013	Babulang
2014	Sukaratu
2015	Palembapang
2016	Tajimalela
2017	Canggu
2018	Kedaton
2019	Merak Belatung
2020	Bulok
2021	Munjuk Sampurna
2022	Gunung Terang
2023	Margacatur
2024	Sukatani
2025	Agom
2026	Negeri Pandan
2027	Taman Agung
1028	Wai Lubuk
2029	Hara Banjar Manis
:07	Sidomulyo
2001	Bandar Dalam
2002	Campang Tiga
2003	Talang Baru
2004	Suka Banjar
2005	Kota Dalam
2006	Budidaya
2007	Siring Jaha
2008	Suak
2009	Sukamaju
2010	Sukamarga
2011	Seloretno
2012	Sidodadi
2013	Sidorejo
2014	Sidomulyo
2015	Sidowaluyo
2020	Banjar Suri
:08	Katibung
2001	Tarahan
2002	Babatan
2003	Pardasuka
2004	Sukajaya
2005	Tanjung Ratu
2006	Tanjung Agung
2007	Tanjungan
2008	Trans Tanjungan
2009	Neglasari
2018	Karya Tunggal
2019	Rangai Tri Tunggal
2020	Sidomekar
:09	Penengahan
2001	Kekiling
2002	Belambangan
2003	Rawi
2004	Padan
2005	Kuripan
2006	Taman Baru
2007	Kelau
2008	Ruang Tengah
2009	Pasuruan
2010	Klaten
2011	Kampung Baru
2012	Banjar Masin
2013	Way Kalam
2014	Gedung Harta
2015	Gayam
2016	Penengahan
2017	Sukajaya
2018	Tetaan
2019	Suka Baru
2020	Pisang
2021	Tanjung Heran
2026	Gandri
:10	Palas
2001	Sukaraja
2002	Sukabakti
2003	Sukamulya
2004	Tanjung Sari
2005	Bangunan
2006	Rejo Mulyo
2007	Palas Aji
2008	Palas Pasemah
2009	Palas Jaya
2010	Bandan Hurip
2011	Pulau Tengah
2012	Bali Agung
2013	Bumi Daya
2014	Tanjung Jaya
2015	Bumi Restu
2016	Pematang Baru
2017	Mekar Mulya
2018	Bumi Asih
2019	Kalirejo
2020	Bumi Asri
2021	Pulau Jaya
:13	Jati Agung
2001	Way Hui
2002	Sidodadi Asri
2003	Margo Mulyo
2004	Gedung Agung
2005	Margodadi
2006	Gedung Harapan
2007	Marga Agung
2008	Jati Mulyo
2009	Fajar Baru
2010	Karang Anyar
2011	Marga Kaya
2012	Margo Lestari
2013	Sumber Jaya
2014	Sinar Rejeki
2015	Sidoharjo
2016	Rejomulyo
2017	Purwotani
2018	Banjar Agung
2019	Karang Sari
2020	Karang Rejo
2021	Margorejo
:14	Ketapang
2001	Bangunrejo
2002	Sripendowo
2003	Karang Sari
2004	Ketapang
2005	Legundi
2006	Tri Dharma Yoga
2007	Ruguk
2008	Sumur
2009	Sumber Nadi
2010	Sidoasih
2011	Pematang Pasir
2012	Berundung
2013	Taman Sari
2014	Kemukus
2015	Lebung Nala
2016	Sidoluhur
2017	Wai Sidomukti
:15	Sragi
2001	Kuala Sekampung
2002	Baktirasa
2003	Mandala Sari
2004	Sukapura
2005	Sumber Agung
2006	Marga Jasa
2007	Sumber Sari
2008	Bandar Agung
2009	Kedaung
2010	Margasari
:16	Raja Basa
2001	Banding
2002	Betung
2003	Batu Balak
2004	Canti
2005	Canggung
2006	Cugung
2007	Hargo Pancuran
2008	Kerinjing
2009	Kunjir
2010	Kota Guring
2011	Rajabasa
2012	Sukaraja
2013	Tanjung Gading
2014	Tejang Pulau Sebesi
2015	Way Muli
2016	Wai Muli Timur
:17	Candipuro
2001	Batuliman Indah
2002	Sinar Palembang
2003	Rantau Minyak
2004	Sidosari
2005	Way Gelam
2006	Cinta Mulya
2007	Banyumas
2008	Beringin Kencana
2009	Sinar Pasemah
2010	Rawa Selapan
2011	Bumi Jaya
2012	Trimomukti
2013	Titiwangi
