34	Daerah Istimewa Yogyakarta
2005	Jerukwudel
2006	Tileng
2007	Pucung
2008	Songbanyu
:17	Tanjungsari
2001	Hargosari
2002	Kemiri
2003	Kemadang
2004	Banjarejo
2005	Ngestirejo
:18	Purwosari
2001	Giripurwo
2002	Giricahyo
2003	Girijati
2004	Giriasih
2005	Giritirto
.04	Sleman
:01	Gamping
2001	Balecatur
2002	Ambarketawang
2003	Banyuraden
2004	Nogotirto
2005	Trihanggo
:02	Godean
2001	Sidorejo
2002	Sidoluhur
2003	Sidomulyo
2004	Sidoagung
2005	Sidokarto
2006	Sidoarum
2007	Sidomoyo
:03	Moyudan
2001	Sumberrahayu
2002	Sumbersari
2003	Sumberagung
2004	Sumberarum
:04	Minggir
2001	Sendangarum
2002	Sendangmulyo
2003	Sendangagung
2004	Sendangsari
2005	Sendangrejo
:05	Seyegan
2001	Margoluwih
2002	Margodadi
2003	Margokaton
2004	Margomulyo
2005	Margoagung
:06	Mlati
2001	Sinduadi
2002	Sendangadi
2003	Tlogoadi
2004	Tirtoadi
2005	Sumberadi
:07	Depok
2001	Caturtunggal
2002	Maguwoharjo
2003	Condongcatur
:08	Berbah
2001	Sendangtirto
2002	Tegaltirto
2003	Kalitirto
2004	Jogotirto
:09	Prambanan
2001	Sumberharjo
2002	Wukirharjo
2003	Gayamharjo
2004	Sambirejo
2005	Madurejo
2006	Bokoharjo
:10	Kalasan
2001	Purwomartani
2002	Tirtomartani
2003	Tamanmartani
2004	Selomartani
:11	Ngemplak
2001	Sindumartani
2002	Bimomartani
2003	Widodomartani
2004	Wedomartani
2005	Umbulmartani
:12	Ngaglik
2001	Sariharjo
2002	Minomartani
2003	Sinduharjo
2004	Sukoharjo
2005	Sardonoharjo
2006	Donoharjo
:13	Sleman
2001	Caturharjo
2002	Triharjo
2003	Tridadi
2004	Pandowoharjo
2005	Trimulyo
:14	Tempel
2001	Banyurejo
2002	Tambakrejo
2003	Sumberrejo
2004	Pondokrejo
2005	Mororejo
2006	Margorejo
2007	Lumbungrejo
2008	Merdikorejo
:15	Turi
2001	Bangunkerto
2002	Donokerto
2003	Girikerto
2004	Wonokerto
:16	Pakem
2001	Purwobinangun
2002	Candibinangun
2003	Harjobinangun
2004	Pakembinangun
2005	Hargobinangun
:17	Cangkringan
2001	Argomulyo
2002	Wukirsari
2003	Glagaharjo
2004	Kepuharjo
2005	Umbulharjo
.71	Yogyakarta
:01	Tegalrejo
1001	Kricak
1002	Karangwaru
1003	Tegalrejo
1004	Bener
:02	Jetis
1001	Bumijo
1002	Cokrodiningratan
1003	Gowongan
:03	Gondokusuman
1001	Demangan
1002	Kotabaru
1003	Klitren
1004	Baciro
1005	Terban
:04	Danurejan
1001	Suryatmajan
1002	Tegalpanggung
1003	Bausasran
:05	Gedongtengen
1001	Sosromenduran
1002	Pringgokusuman
:06	Ngampilan
1001	Ngampilan
1002	Notoprajan
:07	Wirobrajan
1001	Pakuncen
1002	Wirobrajan
1003	Patangpuluhan
:08	Mantrijeron
1001	Gedongkiwo
1002	Suryodiningratan
1003	Mantrijeron
:09	Kraton
1001	Patehan
1002	Panembahan
1003	Kadipaten
:10	Gondomanan
1001	Ngupasan
1002	Prawirodirjan
:11	Pakualaman
1001	Purwokinanti
1002	Gunungketur
:12	Mergangsan
1001	Keparakan
1002	Wirogunan
1003	Brontokusuman
:13	Umbulharjo
1001	Semaki
1002	Muja Muju
1003	Tahunan
1004	Warungboto
1005	Pandeyan
1006	Sorosutan
1007	Giwangan
:14	Kotagede
1001	Rejowinangun
1002	Prenggan
1003	Purbayan
