71	Sulawesi Utara
.01	Bolaang Mongondow
:05	Sang Tombolang
2001	Ayong
2002	Babo
2003	Bolangat
2004	Maelang
2005	Domisil Moonow
2006	Pangi
2012	Lolanan
2015	Cempaka
2017	Batu Merah
2018	Pasir Putih
2019	Pangi Timur
2020	Bolangat Timur
:09	Dumoga Barat
2001	Matayangan
2002	Uuan
2003	Ikhwan
2004	Doloduo
2005	Wangga Baru
2010	Totaut
2011	Mekaruo
2017	Toraut Utara
2018	Doloduo Satu
2019	Doloduo Dua
2020	Doloduo Tiga
2022	Toraut Tengah
:10	Dumoga Timur
2001	Tonom
2002	Mogoyunggung
1003	Imandi
2004	Modomang
2005	Kembang Mertha
2006	Dumoga
2013	Pinonobatuan
2017	Dumoga II
2018	Pinonobatuan Barat
2019	Amertha Sari
2020	Kembang Sari
2021	Amertha Buana
2023	Mogoyunggung Satu
2024	Mogoyunggung Dua
2025	Dumoga Tiga
2026	Dumoga Empat
:11	Dumoga Utara
2001	Tumokang Baru
2002	Mopugad Utara
2003	Mopugad Selatan
2004	Mopuya Utara
2005	Mopuya Selatan
2007	Dondomon
2014	Mopugad Utara Satu
2015	Mopugad Utara Dua
2016	Mopugad Selatan Satu
2017	Mopuya Utara Satu
2018	Mopuya Utara Dua
2019	Mopuya Selatan Satu
2020	Mopuya Selatan Dua
2024	Dondomon Utara
2025	Dondomon Selatan
2026	Tumokang Timur
:12	Lolak
2001	Totabuan
2002	Pindol
2003	Solog
2004	Tandu
2005	Lolak
2006	Motabang
2007	Mongkoinit
2008	Labuan Uki
2009	Pinogaluman
2010	Sauk
2011	Lalow
2012	Buntalo
2013	Bumbung
2014	Baturapa
2015	Tuyat
2016	Pindolili
2017	Lolak Tambolango
2018	Lolak II
2019	Buntalo Timur
2020	Buntalo Selatan
2021	Baturapa II
2022	Diat
2023	Pinogalum Timur
2024	Mongkoinit Barat
2025	Dulangan
2026	Padang Lalow
:13	Bolaang
2001	Komangaan
2002	Solimandungan II
2003	Solimandungan I
2004	Bangomulunow
2005	Langagon
1006	Inobonto
2007	Inobonto II
2014	Inobonto
2015	Langagon Satu
2016	Langagon Dua
2017	Solimandungan Baru
:14	Lolayan
2001	Bombanon
2002	Abak
2003	Tapa Aog
2004	Mopusi
2005	Matali Baru
2006	Bakan
2007	Sanoyan Selatan
2008	Tungoi I
2009	Lolayan
2010	Mopait
2017	Kopandakan II
2019	Tanoyan Utara
2020	Tungoi II
2021	Mengkang
:19	Passi Barat
2001	Muntoi
2002	Poyuyanan
2003	Lobong
2004	Passi
2017	Bintau
2018	Bulud
2019	Otam
2020	Wangga
2022	Inuai
2023	Passi II
2024	Muntoi Timur
2025	Otam Barat
2026	Wangga Satu
:20	Poigar
2001	Mariri Lama
2002	Mariri Baru
2003	Nonapan II
2004	Nonapan I
2005	Wineru
2006	Gogaluman
2007	Poigar I
2008	Nanasi
2009	Pomoman
2010	Tiberias
2011	Mondatong
2012	Poigar II
2013	Poigar III
2014	Mariri II
2015	Mariri I
2016	Nonapan Baru
2017	Nanasi Timur
2018	Nonapan
2019	Tanjung Mariri
2020	Mondatong Baru
:22	Passi Timur
2003	Pangian
2004	Poopo
2005	Manembo
2006	Sinsingon
2007	Insil
2009	Mobuya
2012	Insil Baru
2013	Pangian Tengah
2014	Pangian Barat
2015	Poopo Barat
2016	Poopo Selatan
2017	Sinsingon Barat
2018	Sinsingon Timur
:31	Bolaang Timur
2001	Ambang I
2002	Ambang II
2003	Tadoy
2004	Bolaang
2005	Bantik
2006	Lolan
2007	Tadoy I
2008	Bolaang Satu
2009	Lolan Dua
:32	Bilalang
2001	Bilalang III
2002	Bilalang IV
2003	Tudu Aog
2004	Tudu Aog Baru
2005	Kolinganga'an
2006	Bilalang III Utara
2007	Bilalang Baru
2008	Apado
:33	Dumoga
2001	Serasi
2002	Kanaan
2003	Toruakat
2004	Pusian
2005	Ponompiaan
2006	Mototabian
2007	Bumbungon
2008	Siniyung
2009	Siniyung Satu
2010	Dumoga Satu
2011	Pusian Selatan
2012	Pusian Barat
:34	Dumoga Tenggara
2001	Bonawang
2002	Tapadaka Satu
2003	Tapadaka Utara
2004	Tapadaka Timur
2005	Konarom
2006	Konarom Barat
2007	Konarom Utara
2008	Osion
2009	Ikuna
2010	Dumara
:35	Dumoga Tengah
2001	Ibolian
2002	Ibolian Satu
2003	Kinomalingan
2004	Kosio
2005	Kosio Timur
2006	Kasio Barat
2007	Werdhi Agung
2008	Werdhi Agung Selatan
2009	Werdhi Agung Utara
2010	Werdhi Agung Timur
.02	Minahasa
:01	Tondano Barat
1007	Masarang
1008	Rinegetan
1009	Roong
1010	Tuutu
1011	Tounkuramber
1012	Wawalintouan
1013	Rerewokan
1014	Watulambot
1015	Wewelan
:02	Tondano Timur
1001	Luaan
1005	Ranowangko
1006	Wengkol
1007	Kendis
1008	Katinggolan
1009	Liningaan
1010	Taler
1011	Kiniar
1012	Touluor
1013	Papakelan
1014	Makalounsow
:03	Eris
2001	Telap
2002	Watumea
2003	Eris
2004	Maumbi
2005	Tandengan
2006	Ranomerut
2007	Touliang Oki
2008	Tandengan Satu
:04	Kombi
2001	Tulap
2002	Lalumpe
2003	Kayubesi
2004	Ranowangko II
2005	Kombi
2006	Sawangan
2007	Kolongan
2008	Rerer
2009	Kinaleosan
2010	Makalisung
2011	Kalawiran
2012	Kolongan I
2013	Rerer I
:05	Lembean Timur
2001	Kapataran
2002	Seretan
2003	Atep Oki
2004	Karor
2005	Kaleosan
2006	Watulaney
2007	Kayuroya
2008	Seretan Timur
2009	Parentek
2010	Kapataran Satu
2011	Watulaney Amian
:06	Kakas
