16	Sumatera Selatan
.01	Ogan Komering Ulu
:07	Sosoh Buay Rayap
2001	Negeri Sindang
2002	Rantau Kumpai
2003	Lubuk Baru
2004	Kungkilan
2005	Penyandingan
2006	Bandar
2007	Lubuk Leban
2008	Tungku Jaya
2009	Mekar Sari
2010	Mekar Jaya
2011	Penantian
:08	Pengandonan
2001	Gunung Meraksa
2003	Tanjung Pura
2004	Tanjung Sari
2005	Tangsi Lontar
2006	Belambangan
2007	Kesambirata
2008	Gunung Liwat
2015	Pengandonan
2016	Semanding
2017	Tanjungan
2018	Ujanmas
2019	Gunung Kuripan
:09	Peninjauan
2001	Kepayang
2002	Kedondong
2003	Belimbing
2004	Durian
2006	Lubuk Rukam
2007	Bindu
2009	Mendala
2010	Peninjauan
2011	Saung Naga
2022	Makartitama
2023	Espetiga
2024	Makarti Jaya
2025	Mitra Kencana
2026	Penilikan
2027	Panji Jaya
2028	Karang Dapo
:13	Baturaja Barat
2001	Batu Putih
2002	Laya
1003	Tanjungagung
1004	Saung Naga
1005	Talang Jawa
2006	Pusar
1007	Batu Kuning
2008	Karang Agung
2009	Karang Endah
2010	Tanjung Karang
1011	Air Gading
2012	Sukamaju
:14	Baturaja Timur
1001	Baturaja Lama
1003	Pasar Baru
1004	Kemalaraja
1005	Sukaraya
1006	Sukajadi
2007	Tanjung Kemala
2008	Tanjung Baru
1011	Kemelak Bindung Langit
1012	Sepancar Lawang Kulon
1013	Baturaja Permai
1014	Sekar Jaya
2015	Air Paoh
2016	Terusan
:20	Ulu Ogan
2001	Kelumpang
2002	Gunung Tiga
2003	Mendingin
2004	Ulak Lebar
2005	Pedataran
2006	Sukajadi
2007	Belandang
:21	Semidang Aji
2001	Tanjung Kurung
2002	Sukarami
2003	Batanghari
2004	Nyiur Sayak
2005	Suka Merindu
2006	Padang Bindu
2007	Panggal Panggang
2008	Bedegung
2009	Ulak Pandan
2010	Keban Agung
2011	Tubohan
2012	Raksa Jiwa
2013	Seleman
2014	Kebun Jati
2015	Singapura
2016	Pengaringan
2017	Banjarsari
2018	Pandan Dulang
2020	Panai Makmur
2021	Guna Makmur
2022	Tebing Kampung
:22	Lubuk Batang
2001	Merbau
2002	Gunung Meraksa
2003	Kurup
2004	Banu Ayu
2005	Tanjung Dalam
2006	Lubuk Batang Baru
2007	Lubuk Batang Lama
2008	Belatung
2009	Karta Mulya
2010	Lunggaian
2011	Bandar Agung
2012	Tanjung Manggus
2015	Markisa
2016	Air Wall
2017	Sumber Bahagia
:28	Lengkiti
2001	Bandar Jaya
2002	Karang Endah
2003	Pajar Bulan
2004	Pagar Dewa
2005	Bumi Kawa
2006	Tanjunglengkayap
2007	Lubuk Dalam
2008	Negeri Ratu
2009	Segara Kembang
2010	Tihang
2011	Lubuk Hara
2012	Sukaraja
2013	Negeri Agung
2014	Gedung Pekuon
2015	Tualang
2016	Sundan
2017	Bunga Tanjung
2018	Way Heling
2019	Umpam
2020	Fajar Jaya
2021	Simpang Empat
2022	Tanjungagung
:29	Sinar Peninjauan
2001	Karya Jaya
2002	Karya Mukti
2003	Marga Bakti
2004	Sri Mulya
2005	Marga Mulya
2006	Tanjung Makmur
