1006	Malaka Jaya
1007	Pondok Kopi
:08	Makasar
1001	Makasar
1002	Pinangranti
1003	Kebon Pala
1004	Halim Perdana Kusuma
1005	Cipinang Melayu
:09	Ciracas
1001	Ciracas
1002	Cibubur
1003	Kelapa Dua Wetan
1004	Susukan
1005	Rambutan
:10	Cipayung
1001	Cipayung
1002	Cilangkap
1003	Pondok Ranggon
1004	Munjul
1005	Setu
1006	Bambu Apus
1007	Lubang Buaya
1008	Ceger
