53	Nusa Tenggara Timur
2013	Sanggarhorho
2014	Ndeturea
2015	Ndorurea I
2016	Penggajawa
2017	Jegharangga
2018	Ondorea Barat
2019	Romarea
2020	Timbaria
2021	Mbobhenga
2022	Malawaru
2023	Anaraja
2024	Kekandere
2025	Tanazozo
2026	Tenda Ondo
2027	Jemburea
2028	Embuzozo
2029	Uzuzozo
:02	Pulau Ende
2001	Aejeti
2002	Puutara
2003	Paderape
2004	Ndoriwoi
2005	Rorurangga
2006	Rendoraterua
2007	Redorory
2008	Kazo Kapo
2009	Renga Menge
:03	Ende
2001	Raburia
2002	Riaraja
2003	Mbotutenda
2004	Wologai
2007	Ndetundora I
2008	Ndetundora II
2009	Tomberabu I
2010	Tomberabu II
2011	Nakuramba
2012	Wolokaro
2013	Ja Moke Asa
2014	Emburia
2016	Randotonda
2017	Rukuramba
2018	Tinabani
2019	Ndetundora III
2020	Uzuramba
2021	Tonggopapa
2022	Wologai Dua
2023	Worhopapa
2024	Wawonato
2025	Jejaraja
2026	Tendambonggi
2027	Randorama
2028	Ranoramba
2029	Peozakaramba
2030	Embutheru
2031	Nuaja
2032	Wajakea Jaya
2033	Nemboramba
2034	Embu Ngena
2035	Uzuramba Barat
:04	Ende Selatan
1003	Mbongawani
1004	Rukun Lima
1006	Paupanda
1008	Tetandara
1014	Tanjung
:05	Ndona
1001	Onelako
1002	Lokoboko
2003	Wolotopo
2004	Wolotolo Timur
2006	Puutuga
2007	Ngalupolo
2012	Ngaluroga
2013	Nila
2014	Kekasewa
2015	Manulando
2016	Nanganesa
2017	Wolokota
2018	Kelikiku
2020	Reka
:06	Detusoko
1001	Detusoko
2002	Detusoko Barat
2003	Wolotolo
2004	Wolotolo Tengah
2005	Roa
2006	Saga
2007	Niowula
2008	Wolofeo
2009	Nuaone
2010	Wologai
2011	Wologai Tengah
2013	Wolomage
2015	Randoria
2016	Wolomasi
2017	Rateroru
2018	Dile
2019	Ndito
2020	Sipijena
2021	Golulada
2022	Ranga
2024	Turunalu
:07	Wewaria
2001	Welamosa
2002	Nuangenda
2003	Mautenda
2004	Mautenda Barat
2005	Wewaria
2006	Tanali
2007	Detubela
2008	Fataatu
2009	Fataatu Timur
2010	Mukusaki
2011	Ekoae
2012	Aemuri
2013	Ratewati
2014	Mbotulaka
2015	Numba
2017	Kalitembu
2018	Aelipo
2019	Ratewati Selatan
2020	Waka
2021	Wolooja
2022	Ekolea
2023	Ae Ndoko
:08	Wolowaru
1001	Bokasape
2002	Bokasape Timur
2010	Mbuliloo
2011	Rindiwawo
2012	Jopu
2013	Wolokoli
2014	Mbuliwaralau
2015	Mbuliwaralau Utara
2016	Lisedetu
2017	Nualise
2018	Wolosoko
2019	Liselowobora
2020	Likanaka
2021	Nakambara
2022	Niramesi
2023	Tana Lo'o
2024	Lise Pu'u
:09	Wolojita
1001	Wolojita
2002	Tenda
2003	Wiwipemo
2004	Pora
2005	Nuamulu
2006	Nggela
:10	Maurole
2001	Maurole
2003	Aewora
2005	Mausambi
2006	Ranakolo
2007	Watukamba
2008	Ranakolo Selatan
2009	Keliwumbu
2018	Detuwulu
2019	Otogedu
2020	Woloau
2021	Ngalukoja
2022	Niranusa
2023	Uludala
:11	Maukaro
2001	Kebirangga
2002	Kebirangga Selatan
2003	Kamubheka
2004	Magekapa
2005	Boafeo
2006	Nabe
2007	Kobaleba
2008	Mundinggasa
2009	Kolikapa
2010	Kebirangga Tengah
2011	Natanangge
:12	Lio Timur
1001	Watuneso
2002	Hobatua
2003	Wolosambi
2004	Woloara
2005	Detupera
2006	Wololela A
2007	Liabeke
2013	Fatamari
2014	Ranggatalo
2015	Nua Lima
2016	Tanaroga
2017	Bu Tanalagu
2018	Mbewawora
:13	Kota Baru
2001	Kotabaru
2002	Tou
2003	Tou Timur
2004	Loboniki
2005	Ndondo
2006	Niopanda
2007	Hangalande
2012	Tou Barat
2013	Liselande
2014	Rangalaka
2015	Pise
2016	Neotonda
2017	Nuanaga
:14	Kelimutu
2002	Nduaria
2003	Nuamuri
2004	Nuamuri Barat
2005	Koanara
2006	Woloara
2007	Pemo
2009	Detuena
2010	Wolokelo
2011	Waturaka
:15	Detukeli
2001	Nggesa
2002	Detukeli
2003	Kebesani
2004	Wolomuku
2005	Watunggere
2006	Nida
2007	Maurole Selatan
2008	Detumbewa
2009	Kanganara
2011	Unggu
2012	Nggesabiri
2013	Watunggere Marilonga
2014	Jeo Du'a
:16	Ndona Timur
2001	Kurulimbu
2002	Sokoria
2003	Demulaka
2004	Roga
2005	Kurulimbu Selatan
2006	Ngguwa
2007	Sokoria Selatan
:17	Ndori
2001	Maubasa
2002	Maubasa Timur
2003	Wonda
2004	Serandori
2005	Kelisamba
2006	Mole
2007	Lungaria
2008	Aebara
2009	Ratemangga
2010	Maubasa Barat
:18	Ende Utara
1001	Kota Raja
1002	Kota Ratu
1003	Roworena
2004	Gheoghoma
2005	Borokanda
2006	Watusipi
1007	Roworena Barat
2008	Mbomba
2009	Embundoa
2010	Raterua
:19	Ende Tengah
1001	Potulando
1002	Onekore
1003	Kelimutu
1004	Paupire
:20	Ende Timur
1001	Mautapaga
1002	Rewarangga
2003	Kedebodu
2004	Ndungga
2005	Tiwutewa
1006	Rewarangga Selatan
:21	Lepembusu Kelisoke
2001	Nggumbelaka
2002	Mukureku
2003	Wologai Timur
2004	Kuru
2005	Ndenggarongge
2006	Ndikosapu
2007	Taniwoda
2008	Tanalangi
2009	Detuara
2010	Tiwusora
2011	Lisekuru
2012	Rutujeja
2013	Mukureku Sa'ate
2014	Kurusare
.09	Ngada
:01	Aimere
2001	Keligejo
1002	Aimere
1003	Foa
2014	Aimere Timur
2018	Heawea
2019	Legelapu
2020	Lekogoko
2021	Binawali
2022	Kila
2023	Waesae
:02	Golewa
2002	Were I
1008	Todabelu
2009	Sangadeto
2010	Ratogesa
2011	Radabata
1017	Mataloko
2018	Dadawea
2019	Sarasedu
2020	Malanuza
2025	Were
2026	Were IV
2031	Malanuza Satu
2032	Sarasedu Satu
2036	Ulu Belu
2037	Ekoroka
2038	Wae La
:06	Bajawa
2001	Beja
2002	Bomari
2003	Wawowae
2004	Ubedolumolo
2005	Naru
2009	Beiwali
1013	Bajawa
1014	Tanalodu
1015	Kisanata
1016	Jawameze
1017	Trikora
1018	Ngedukelu
1019	Lebijaga
1020	Faobata
1021	Susu
2022	Borani
2023	Langagedha
2024	Pape
2025	Bowali
2026	Ngoranale
2027	Ubedolumolo Satu
2028	Bela
:07	Soa
2001	Waepana
2004	Masumeli
2005	Piga
2006	Loa
2007	Tarawaja
2008	Seso
2010	Mangeruda
2011	Masu Kedhi
2012	Libunio
2013	Meli Waru
2014	Ngabheo
2016	Bogoboa
2017	Piga Satu
2018	Tarawali
:09	Riung
2005	Taenterong
2006	Wangka
2008	Lengkosambi
2009	Tadho
1010	Benteng Tengah
1011	Nangamese
2012	Sambinasi
2013	Latung
2014	Rawangkalo
2016	Wangka Selatan
2017	Lengkosambi Timur
2018	Lengkosambi Barat
2019	Sambinasi Barat
2020	Lengkosambi Utara
2021	Taen Terong Satu
2022	Taen Terong Dua
:12	Jerebuu
2001	Watumanu
2002	Tiworiwu
2003	Dariwali
2004	Naruwolo
2005	Nenowea
2007	Naruwolo I
2008	Naruwolo II
2009	Dariwali I
2010	Nio Lewa
2011	Tiworiwu I
2012	Tiworiwu II
2015	Batajawa
:14	Riung Barat
2001	Benteng Tawa
2002	Lanamai
2003	Wolomeze
2004	Ria
2005	Ngara
2006	Ria I
2007	Wolomeze I
2008	Benteng Tawa I
2009	Lanamai I
2010	Wolomese Dua
:15	Bajawa Utara
2001	Uluwae
2002	Inelika
2003	Inegena
2004	Wololika
2005	Watukapu
2006	Waewea
2007	Nabelena
2008	Genamere
2009	Uluwae I
2010	Uluwae II
2011	Tura Muri
:16	Wolomeze
2001	Nginamanu
2002	Denatana
2003	Mainai
2004	Turaloa
2005	Nginamanu Selatan
2006	Nginamanu Barat
2007	Wue
2008	Denatana Timur
:18	Golewa Selatan
2001	Bawarani
2002	Wogowela
2003	Watu Sipi
2004	Boba
2005	Boba Satu
2006	Were Tiga
2007	Kezewea
2008	Nirmala
2009	Sadha
2010	Takatunga
2011	Radamasa
2012	Were Dua
:19	Golewa Barat
1001	Mangulewa
2002	Turekisa
2003	Rakalaba
2004	Sobo
2005	Sobo Satu
2006	Rakateda Satu
2007	Rakateda Dua
2008	Watunay
2009	Dizi Gedha
2010	Bewapawe
:20	Inerie
2001	Paupaga
2002	Sebowuli
2003	Inerie
2004	Warupele Satu
2005	Warupele Dua
2006	Kelitei
2007	Waebela
2008	Tiwurana
2009	Legeriwu
2010	Manubhara
.10	Manggarai
:01	Wae Rii
2001	Satar Ngkeling
2002	Lalong
2003	Poco
2004	Wae Mulu
2005	Ndehes
2006	Golo Cador
2007	Longko
2008	Ranggi
2009	Compang Ndehes
2010	Bangka Jong
2012	Bangka Kenda
2013	Golo Mendo
2014	Golo Wuas
2015	Wae Rii
2016	Ranaka
2017	Golo Watu
2018	Benteng Poco
:03	Ruteng
2002	Cumbi
2003	Kakor
2004	Pong Murung
1005	Wae Belang
2006	Bulan
2010	Pong Lao
2011	Beo Rahong
2019	Golo Worok
2020	Meler
2021	Benteng Kuwu
2022	Belang Turi
2023	Pong Leko
2024	Rai
2025	Poco Likang
2029	Bangka Lao
2030	Compang Dalo
2031	Bea Kakor
2032	Compang Namut
2033	Pong Lale
:05	Satar Mese
2003	Jaong
2004	Pongkor
2005	Wae Ajang
2018	Papang
2019	Wewo
2020	Lungar
2021	Mocok
2022	Koak
2023	Langgo
2024	Legu
2025	Paka
2028	Tal
2031	Golo Lambo
2032	Ngkaer
2033	Umung
2034	Tado
2035	Gara
2036	Golo Muntas
2038	Ponggeok
2039	Iteng
2040	Satar Loung
2041	Lolang
2042	Ulu Belang
:06	Cibal
2001	Nenu
2002	Rado
2006	Wudi
2007	Welu
2008	Golo
2009	Barang
2010	Perak
2011	Bea Mese
2012	Langkas
2013	Ladur
2014	Kentol
2015	Riung
2022	Pinggang
2024	Lando
2025	Gapong
1026	Pagal
2027	Golo Ncuang
:11	Reok
2001	Robek
2009	Ruis
2010	Bajak
2011	Watu Baur
2012	Salama
2016	Watu Tango
1017	Reo
1018	Mata Air
1019	Baru
1020	Wangkung
:12	Langke Rembong
1001	Golo Dukal
1002	Wali
1003	Karot
1004	Pitak
1005	Lawir
1006	Pau
1007	Waso
1008	Watu
1009	Mbaumuku
1010	Tenda
1011	Carep
1012	Bangka Nekang
1013	Satar Tacik
1014	Poco Mal
1015	Compang Carep
1016	Laci Carep
1017	Tadong
1018	Rowang
1019	Bangka Leda
1020	Compang Tuke
:13	Satar Mese Barat
2002	Hilihintir
2005	Bea Kondo
2012	Golo Ropong
2013	Terong
2014	Ceka Luju
2015	Satar Luju
2016	Satar Lenda
2017	Satar Ruwuk
2018	Nuca Molas
2019	Borik
2021	Cambir Leca
2022	Wongka
:14	Rahong Utara
2001	Buar
2002	Benteng Tubi
2003	Compang Dari
2004	Dimpong
2005	Bangka Ajang
2006	Liang Bua
2007	Tengku Lese
2008	Golo Langkok
2009	Pong Lengor
2010	Manong
2011	Bangka Ruang
2012	Wae Mantang
:15	Lelak
2001	Bangka Lelak
2002	Gelong
2003	Urang
2004	Ketang
2005	Pong Umpu
2006	Bangka Dese
2007	Nati
2008	Ndiwar
2009	Bangka Tonggur
2010	Lentang
:16	Reok Barat
2001	Kajong
2002	Lante
2003	Toe
2004	Sambi
2005	Nggalak
2006	Loce
2007	Lemarang
2008	Torong Koe
2009	Para Lando
2010	Rura
:17	Cibal barat
2001	Bere
2002	Wae Codi
2003	Golo Woi
2004	Golo Lanak
2005	Latung
2006	Wae Renca
2007	Timbu
2008	Bangka Ara
2009	Compang Cibal
2010	Lenda
:18	Satar Mese Utara
2001	Renda
2002	Todo
2003	Gulung
2004	Popo
2005	Lia
2006	Kole
2007	Ling
2008	Nao
2009	Cireng
2010	Ruang
2011	Mata Wae
.11	Sumba Timur
:01	Kota Waingapu
1001	Kambajawa
1002	Hambala
1003	Matawai
1004	Kamalaputi
2012	Lukukamaru
2013	Mbatakapidu
2014	Pambotandjara
:02	Haharu
2003	Rambangaru
2006	Praibakul
2007	Wunga
2008	Kadahang
2009	Napu
2010	Mbatapuhu
2012	Kalamba
:03	Lewa
1001	Lewa Paku
2002	Kambuhapang
2003	Kambata Wundut
2004	Kondamara
2005	Matawai Pawali
2006	Rakawatu
2007	Tana Rara
2013	Bidi Hunga
:04	Nggaha Ori Angu
2001	Makamenggit
2002	Tandula Jangga
2003	Praipaha
2004	Kahiri
2005	Pulu Panjang
2010	Praikarang
2011	Tanatuku
2012	Ngadulanggi
:05	Tabundung
2001	Billa
2002	Karita
2003	Kuki Talu
2004	Tapil
2005	Tarimbang
2006	Waikanabu
2007	Pindu Hurani
2008	Praing Kareha
2009	Wudi Pandak
2011	Bangga Watu
:06	Pinu Pahar
2001	Ramuk
2002	Wangga Mbewa
2003	Lailunggi
2004	Tawui
2005	Wahang
2006	Mahaniwa
:07	Pandawai
1001	Kawangu
1002	Watumbaka
2003	Kambatatana
2007	Palaka Hembi
2008	Kadumbul
2009	Maubokul
2012	Laindeha
:08	Umalulu
1001	Lumbukore
2002	Umalulu
2003	Patawang
2004	Wanga
2005	Matawai Atu
2006	Mutunggeding
2007	Lairuru
2008	Watuhadang
2009	Watupuda
2010	Ngaru Kanoru
:09	Rindi
2001	Rindi
2002	Tanaraing
2003	Haikatapu
2004	Kabaru
2005	Hanggaroru
2006	Lailanjang
2007	Tamburi
2008	Kayuri
:10	Pahunga Lodu
2001	Kaliuda
2002	Kuruwaki
2003	Tana Manang
2004	Mburukulu
2005	Pamburu
2006	Lambakara
2007	Tamma
2009	Palanggai
:11	Wulla Waijelu
2001	Wulla
2002	Hadakamali
2003	Lumbu Manggit
2004	Latena
2005	Lainjanji
2006	Laipandak
2008	Paranda
:12	Paberiwai
2001	Kananggar
2002	Mehang Mata
2003	Karera Jangga
2004	Praimbana
2005	Pabera Manera
2010	Winumuru
2011	Laitaku
:13	Karera
2001	Nggongi
2002	Praimadita
2003	Praisalura
2004	Tandula Jangga
2005	Nangga
2006	Janggamangu
2011	Ananjaki
:14	Kahaungu Eti
2001	Kamanggih
2002	Kambatabundung
2003	Meurumba
2004	Laimbonga
2005	Kota Kawau
2006	Matawai Katingga
2007	Kataka
2008	Matawai Maringgu
2009	Mauramba
:15	Matawai La Pawu
2001	Prai Bakul
2002	Katikutana
2003	Karipi
2004	Wangga Meti
2005	Katiku Wai
2006	Katiku Luku
:16	Kambera
1001	Wangga
1002	Prailiu
1003	Kambaniru
1004	Mauliru
1005	Mau Hau
1006	Malumbi
1007	Lambanapu
2008	Kiritana
:17	Kambata Mapambuhang
2001	Lukuwingir
2002	Waimbidi
2003	Laimeta
2004	Mahubokul
2005	Marada Mundi
2006	Maidang
:18	Lewa Tidahu
2001	Watumbelar
2002	Bidipraing
2003	Umamanu
2004	Mondulambi
2005	Kangeli
2006	Laihau
:19	Katala Hamu Lingu
2001	Kompa Pari
2002	Matawai Amahu
2003	Mandahu
2004	Lailara
2005	Praibakul
:20	Kanatang
1001	Temu
2002	Kuta
2003	Hambapraing
2004	Mondu
2005	Ndapayami
:21	Ngadu Ngala
2001	Praiwitu
2002	Kakaha
2003	Hambawutang
2004	Kabanda
2005	Prauraming
:22	Mahu
2001	Lahiru
2002	Patamawai
2003	Wairara
2004	Praikalala
2005	Lulundilu
2006	Haray
.12	Sumba Barat
:04	Tana Righu
2001	Loko Ry
2002	Lolo Wano
2003	Malata
2004	Ngadu Pada
2005	Lingu Lango
2006	Karaka Nduku
2007	Wano Kasa
2008	Wee Patola
2009	Zala Kadu
2010	Bondo Tera
2011	Manu Kuku
2012	Lolo Tana
2013	Kareka Nduku Utara
2014	Kareka Nduku Selatan
2015	Manu Mada
2016	Elu Loda
2017	Kalebu Ana Kaka
2018	Tarona
:10	Loli
2001	Bera Dolu
2002	Doka Kaka
2003	Tana Rara
2004	Bali Ledo
2005	Dedekadu
2006	Ubu Pede
1007	Wee Karou
1008	Sobawawi
2009	Tema Tana
2010	Ubu Raya
1011	Loda Pare
1012	Wee Dabo
1013	Dira Tana
2014	Manola
:11	Wanokaka
2001	Katiku Loku
2002	Hupu Mada
2003	Praibakul
2004	Hoba Wawi
2005	Waihura
2006	Pahola
2007	Bali Loku
2008	Tara Manu
2009	Mamodu
2010	Rua
2011	Rewa Rara
2012	Wei Mangoma
2013	Ana Wolu
2014	Pari Rara
:12	Lamboya
2004	Patiala Bawa
2005	Wailibo
2006	Lamboya Bawah
2007	Watu Karere
2008	Kabu Karudi
2009	Rajaka
2010	Sodana
2011	Laboya Dete
2012	Ringu Rara
2014	Bodo Hula
2015	Pala Moko
:15	Kota Waikabubak
1001	Wailiang
1002	Komerda
1003	Kampung Baru
1004	Kampung Sawah
2005	Kodaka
2006	Tebara
2007	Kalembu Kuni
1008	Pada Eweta
1009	Maliti
2010	Soba Rade
2011	Lapale
2012	Modu Waimaringu
2013	Puu Mawo
:18	Laboya Barat
2001	Wee Tana
2002	Gaura
2003	Patiala Dete
2004	Harona Kalla
.13	Lembata
:01	Naga Wutung
2001	Pasir Putih
2002	Duawutun
2003	Atawai
2004	Lusiduawutun
2005	Labalimut
2006	Ileboli
2007	Babokerong
2008	Penikenek
2009	Belobaja
2010	Lolong
2011	Wuakoreng
2012	Baobolak
2013	Tewaowutung
2014	Boli Bean
2015	Warawatung
2016	Idalolong
2017	Ria Bao
2018	Liwulagang
:02	Atadei
2001	Atakera
2002	Lusilame
2004	Lerek
2005	Nubahaeraka
2006	Tubukrajan
2007	Lebaata
2008	Ile Kimok
2009	Katakeja
2010	Ile Kerbau
2011	Dulir
2012	Dori Pewut
2013	Nuba Atalojo
2014	Nogo Doni
2015	Nubaboli
2016	Lewogroma
:03	Ile Ape
2001	Kolipadan
2002	Dulitukan
2003	Tagawiti
2004	Waowala
2005	Amakaka
2006	Bungamuda
2007	Napasabok
2012	Petuntawa
2013	Kolontobo
2014	Laranwutun
2015	Watodiri
2016	Tanjung Batu
2018	Muruona
2022	Palilolon
2024	Lamawara
2025	Beutaran
2026	Riangbao
:04	Lebatukan
2001	Hadakewa
2002	Lamatuka
2003	Seranggorang
2004	Lodotodokowa
2005	Baopana
2006	Waienga
2007	Lewoeleng
2008	Dikesare
2009	Merdeka
2010	Lerahinga
2011	Tapobarang
2012	Balurebong
2013	Lamadale
2014	Tapolangu
2015	Lamalela
2016	Atakowa
2017	Banitobo
:05	Nubatukan
1001	Lewoleba
1002	Lewoleba Timur
1003	Lewoleba Tengah
1004	Lewoleba Utara
2006	Baolangu
2007	Nubamado
2008	Watokobu
2009	Belobatang
2010	Waijarang
2011	Udak Melomata
2012	Paubokol
2013	Pada
2014	Lite Ulu Mado
1015	Selandoro
1016	Lewoleba Selatan
1017	Lewoleba Barat
2018	Bakalerek
2019	Bour
:06	Omesuri
2001	Balauring
2002	Nilanapo
2003	Leubatang
2004	Walang Sawah
2005	Mahal I
2006	Aramengi
2007	Meluwiting
2008	Hingalamamengi
2009	Dolulolong
2010	Hoelea I
2011	Roma
2012	Leuwayang
2013	Leudanung
2014	Normal
2015	Wailolong
2016	Hoelea II
2017	Lebewala
2018	Mahal II
2019	Peusawa
2020	Wowong
2021	Normal I
2022	Meluwiting I
:07	Buyasuri
2001	Panama
2002	Benihading I
2003	Atulaleng
2004	Roho
2005	Loyobohor
2006	Leuburi
2007	Kaohua
2008	Kalikur WL.
2009	Umaleu
2010	Buriwutung
2011	Mampir
2012	Leuwohung
2013	Bareng
2014	Kalikur
2015	Bean
2016	Benihading II
2017	Tobotani
2018	Tubung Walang
2019	Rumang
2020	Atu Wa'lupang
:08	Wulandoni
2001	Alap Atadei
2002	Atakera
2003	Leworaja
2004	Pantai Harapan
2005	Puor
2006	Imu Lolong
2007	Lamalera B
2008	Lamalera A
2009	Lelata
2010	Wulandoni
2011	Belobao
2012	Posiwatu
2013	Puor B
2014	Ataili
2015	Tapobali
:09	Ile Ape Timur
2001	Todanara
2002	Jontona
2003	Lamawolo
2004	Lamatokan
2005	Bao Lali Duli
2006	Lamaau
2007	Aulesa
2008	Waimatan
2009	Lamagute
.14	Rote Ndao
:01	Rote Barat Daya
2005	Oeseli
2006	Oebou
2007	Lalukoen
2008	Oehandi
2009	Oetefu
2010	Batutua
2011	Meoain
2012	Oebafok
2013	Oebatu
2014	Mbokak
2015	Lekik
2016	Dolasi
2017	Oelasin
2018	Landu
2019	Lentera
2020	Sanggandolu
2021	Sakubatun
2022	Fuafuni
2023	Dalek Esa
:02	Rote Barat Laut
2004	Temas
2005	Boni
2006	Oelua
2007	Modosinal
1008	Busalangga
2009	Netenaen
2010	Lidor
2011	Tolama
2012	Ingguinak
2013	Oetutulu
2014	Daudolu
2015	Oebela
2017	Tualima
2018	Holulai
2019	Hundihuk
2020	Oebole
2021	Saindule
2022	Tasilo
2023	Balaoli
2024	Mundek
2025	Busalangga Timur
2026	Busalangga Barat
:03	Lobalain
1001	Namodale
2002	Kuli
2003	Bebalain
2004	Kolobolon
2005	Helebeik
2006	Sanggaoen
2007	Holoama
2008	Tuanatuk
1009	Mokdale
2010	Oelunggu
1011	Metina
2012	Oematamboli
2013	Suelain
2014	Baadale
2015	Lekunik
2016	Loleoen
2017	Kuli Aisele
2018	Oeleka
:04	Rote Tengah
2001	Maubesi
1002	Onatali
2003	Nggodimeda
2004	Limakoli
2005	Lidamanu
2010	Suebela
2011	Lidabesi
2013	Siomeda
:05	Pantai Baru
2001	Nusakdale
2002	Batulilok
2003	Lenupetu
2004	Sonimanu
2005	Oebau
2006	Oeledo
2007	Keoen
2008	Edalode
1009	Olafulihaa
2010	Tungganamo
2011	Tesa Bela
2012	Lekona
2013	Oenggae
2014	Fatelilo
2015	Ofalangga
:06	Rote Timur
2001	Mukekuku
2002	Faifua
2003	Hundihopo
1004	Londalusi
2005	Serubeba
2006	Lakamola
2007	Matasio
2014	Pengodua
2015	Batefalu
2016	Papela
2017	Matanae
:07	Rote Barat
2001	Sedeoen
2002	Nemberala
2003	Oenggaut
2004	Bo'a
2005	Oenitas
2006	Oelolok
2007	Mbueain
:08	Rote Selatan
2001	Lenguselu
2002	Daleholu
2003	Dodaek
2004	Tebole
2005	Inaoe
2006	Nggelodae
2007	Pilasue
:09	Ndao Nuse
2001	Mbali Lendeiki
2002	Anarae
2003	Mbiu Lombo
2004	Nuse
2005	Ndaonuse
:10	Landu Leko
2001	Bolatena
2002	Lifuleo
2003	Sotimori
2004	Daeurendale
2005	Daiama
2006	Pukuafu
2007	Tena Lai
.15	Manggarai Barat
:01	Macang Pacar
2001	Bari
2002	Rokap
2003	Mbakung
2004	Nggilat
2005	Rego
2006	Wontong
2007	Raba
2008	Nanga Kantor
2014	Watubaru
2015	Lewat
2016	Watu Manggar
2025	Sarae Naru
2026	Nanga Kantor Barat
:02	Kuwus
2002	Coal
2004	Pangga
2010	Lewur
2011	Lawi
2017	Compang Suka
2018	Benteng Suru
2021	Sama
1022	Golo Ru'u
1023	Nantal
2030	Bangka Lewat
2031	Suka Kiong
2032	Golo Pua
:03	Lembor
2003	Wae Wako
2010	Wae Kanta
2011	Ponto Ara
2012	Wae Bangka
2013	Pong Majok
2014	Daleng
2021	Siru
2022	Pondo
2023	Poco Rutang
2025	Ngancar
1032	Tangge
2033	LIang Sola
2034	Wae Mowol
2035	Golo Ndeweng
2036	Poco Dedeng
:04	Sano Nggoang
2001	Golo Ndaring
2005	Golo Kempo
2008	Golo Manting
2009	Matawae
2011	Nampar Macing
2014	Wae Sano
2016	Golo Mbu
2017	Golo Leleng
2018	Sano Nggoang
2020	Wae Lolos
2024	Golo Sengang
2025	Watu Panggal
2026	Golo Kondeng
2027	Poco Golo Kempo
2028	Pulau Nuncung
:05	Komodo
2001	Komodo
2002	Pasir Putih
2003	Pasir Panjang
2004	Golo Mori
2005	Warloka
2007	Golo Bilas
2008	Macang Tanggar
2009	Watu Nggelek
2015	Golo Pongkor
2016	Nggorang
2018	Papa Garang
2019	Batu Cermin
2020	Gorontalo
2022	Tiwu Nampar
1024	Wae Kelambu
1025	Labuan Bajo
2026	Seraya Marannu
2027	Compang Longgo
2028	Pantar
:06	Boleng
2001	Mbuit
2002	Golo Ketak
2003	Pota Wangka
2004	Tanjung Boleng
2005	Golo Sepang
2006	Pontianak
2007	Sepang
2008	Golo Lujang
2009	Batu Tiga
2020	Golo Nobo
2021	Beo Sepang
:07	Welak
2001	Golo Ronggot
2002	Semang
2003	Dunta
2004	Gurung
2005	Orong
2006	Pong Welak
2007	Galang
2008	Rehak
2009	Watu Umpu
2010	Pengka
2011	Lale
2015	Racang Welak
2016	Sewar
2017	Robo
2018	Wewa
2019	Golo Ndari
:08	Ndoso
2001	Golo Poleng
2002	Tentang
2003	Raka
2004	Kasong
2005	Ndoso
2006	Waning
2007	Wae Buka
2008	Momol
2009	Lumut
2010	Pong Narang
2011	Golo Bore
2012	Pateng Lesuh
2013	Tehong
2014	Golo Ru'a
2015	Golo Keli
:09	Lembor Selatan
2001	Repi
2002	Watu Waja
2003	Surunumbeng
2004	Munting
2005	Kakor
2006	Lalong
2007	Wae Mose
2008	Nanga Lili
2009	Nanga Bere
2010	Benteng Dewa
2011	Watu Rambung
2012	Lendong
2013	Watu Tiri
2014	Benteng Tado
2015	Modo
:10	Mbeliling
2001	Liang Ndara
2002	Tandong Belang
2003	Cunca Lolos
2004	Cunca Wulang
2005	Golo Damu
2006	Golo Ndoal
2007	Golo Sembea
2008	Golo Desat
2009	Kempo
2010	Wae Jare
2011	Golo Tantong
2012	Tiwi Riwung
2013	Watu Wangka
2014	Compang Liang Ndara
2015	Watu Galang
:11	Pacar
2001	Pacar
2002	Manong
2003	Romang
2004	Compang
2005	Waka
2006	Pong Kolong
2007	Loha
2008	Benteng Ndope
2009	Golo Lajang
2010	Golo Lajang Barat
2011	Kombo
2012	Kombo Selatan
2013	Kombo Tengah
:12	Kuwus Barat
2001	Golo Lewe
2002	Tueng
2003	Sompang Kolang
2004	Wajur
2005	Kolang
2006	Golo Riwu
2007	Compang Kules
2008	Tengku
2009	Golo Wedong
2010	Ranggu
.16	Nagekeo
:01	Aesesa
1001	Dhawe
2002	Labolewa
1003	Mbay I
2004	Tedamude
1005	Towak
2006	Nggolonio
1007	Mbay II
2008	Olaia
1009	Danga
2010	Aerama
1011	Lape
2012	Marapokot
2013	Tonggurambang
2014	Waekokak
2015	Ngegedhawe
2016	Tadakisa
2017	Nggolombay
2018	Nangadhero
:02	Nangaroro
1001	Nangaroro
2002	Podenura
2003	Tonggo
2004	Wokodekororo
2005	Riti
2006	Kotakeo
2007	Pagomogo
2008	Degalea
2009	Ulupulu
2010	Bidoa
2011	Utetoto
2012	Nataute
2013	Woedoa
2014	Woewutu
2015	Ulupulu I
2016	Wokowoe
2017	Kotakeo Satu
2018	Kotakeo Dua
2019	Kodaute
:03	Boawae
1001	Natanage
2002	Rowa
1003	Nagesapadhi
2004	Solo
1005	Nageoga
2006	Legederu
1007	Wolopogo
2008	Nagerawe
1009	Rega
2010	Kelewae
1011	Ratongamobo
2012	Kelimado
1013	Olakile
2014	Mulakoli
2015	Wea Au
2016	Raja
2017	Wolowea
2018	Gerodhere
2019	Dhereisa
2020	Rigi
1021	Natanage Timur
2022	Alorawe
2023	Focolodorawe
2024	Wolowea Timur
2025	Wolowea Barat
2026	Raja Timur
2027	Raja Selatan
:04	Mauponggo
1001	Mauponggo
2002	Bela
2003	Wolokisa
2004	Wuliwalo
2005	Maukeli
2006	Aewoe
2007	Wolotelu
2008	Sawu
2009	Jawapogo
2010	Ululoga
2011	Lodaolo
2012	Woloede
2013	Woewolo
2014	Salalejo
2015	Ua
