53	Nusa Tenggara Timur
2014	Oehan
:12	Fatumnasi
2001	Nenas
2004	Fatumnasi
2005	Nuapin
2009	Kuanoel
2010	Mutis
:13	Polen
2001	Konbaki
2002	Fatumnutu
2003	Bijeli
2004	Loli
2005	Usapimnasi
2006	Mnesatbubuk
2007	Puna
2008	Laob
2009	Oelnunuh
2010	Balu
2011	Sainoni
:14	Batu Putih
2001	Benlutu
2002	Boentuka
2003	Hane
2004	Oebobo
2005	Tupan
2006	Tuakole
2007	Oehela
:15	Boking
2006	Sabun
2007	Nano
2009	Boking
2010	Baus
2011	Meusin
2013	Leonmeni
2014	Fatu Manufui
:16	Toianas
2001	Toianas
2002	Skinu
2003	Oeleu
2004	Sanbet
2005	Bokong
2006	Tuataum
2007	Lobus
2008	Noeolin
2009	Milli
:17	Nunkolo
2001	OP
2002	Sahan
2003	Nenoat
2004	Haineno
2005	Nunkolo
2006	Saenam
2007	Fat
2008	Haumeni
2009	Putun
:18	Oenino
2001	Neke
2002	Pene Utara
2003	Noenoni
2004	Hoi
2005	Niki Niki Un
2006	Oenino
2007	Abi
:19	Kolbano
2001	Kolbano
2002	Noesiu
2003	Pene Selatan
2004	Oetuke
2005	Babuin
2006	Oeleu
2007	Se'i
2008	Nununamat
2009	Pana
2010	Haunobenak
2011	Ofu
2012	Spaha
:20	Kot olin
2001	Kot'olin
2002	Nunbena
2003	Fatuat
2004	Hoibeti
2005	Nualunat
2006	Binenok
2007	Ponite
2008	O'obibi
:21	Kualin
2001	Kualin
2002	Oni
2003	Nunusunu
2004	Tuapakas
2005	Toineke
2006	Tuafanu
2007	Kiufatu
2008	Oemaman
:22	Mollo Barat
2001	Besana
2002	Fatukoko
2003	Koa
2004	Oel Uban
2005	Salbait
:23	Kok Baun
2001	Lotas
2002	Sabnala
2003	Koloto
2004	Niti
2005	Obaki
2006	Benehe
:24	Noebana
2001	Noebana
2002	Fatumnasi
2003	Suni
2004	Mella
2005	Mnelapetu
:25	Santian
2001	Santian
2002	Poli
2003	Manufui
2004	Nenotes
2005	Naifatu
:26	Noebeba
2001	Naip
2002	Fatutnana
2003	Oepliki
2004	Oe'ekam
2005	Teas
2006	Oebaki
2007	Eno Nabuasa
:27	Kuatnana
2001	Tetaf
2002	Naukae
2003	Supul
2004	Lakat
2005	Enoneontes
2006	O'of
2007	Tubmonas
2008	Oe Oe
:28	Fautmolo
2001	Sillu
2002	Nunukhniti
2003	Kaeneno
2004	Oeleon
2005	Tunis
2006	Bileon
2007	Besle'u
:29	Fatukopa
2001	Fatukopa
2002	Besnam
2003	Taebone
2004	Nunfutu
2005	Kiki
2006	Ello
2007	Nifulinah
:30	Mollo Tengah
2001	Oelbubuk
2002	Nekemunifeto
2003	Binaus
2004	Oel'Ekam
2005	Kualeu
2006	Pika
:31	Tobu
2001	Tobu
2002	Tutem
2003	Tune
2004	Bonleu
2005	Pubasu
2006	Huetalan
2007	Saubalan
2008	Bestobe
:32	Nunbena
2001	Lill ana
2002	Nunbena
2003	Noebesi
2004	Taneotob
2005	Feto Mone
2006	Tunbes
.03	Timor Tengah Utara
:01	Miomafo Timur
2005	Bokon
1006	Bitefa
2007	Keanbaun
2018	Amol
2019	Fatusene
1020	Oesena
2021	Jak
2022	Tuntun
2023	Tunoe
2024	Femnasi
2025	Taekas
:02	Miomafo Barat
2001	Noepesu
2002	Fatuneno
2003	Suanae
2004	Lemon
2005	Fatunisuan
2006	Haulasi
2018	Neotoko
2019	Fatutasu
2020	Manusasi
2025	Saenam
1026	Eban
1027	Sallu
2028	Sa'tab
:03	Biboki Selatan
2001	Pantae
2002	Oenaem
1003	Up Faon
2007	Tautpah
2009	Tokbesi
2010	Sainiup
1011	Supun
2012	Tunbaen
:04	Noemuti
2001	Bijeli
2002	Noebaun
2003	Seo
2004	Popnam
2009	Nibaaf
2010	Banfanu
1011	Oenak
1012	Nifuboke
1013	Noemuti
1014	Fatumuti
1015	Kiuola
2016	Oeperigi
:05	Kota Kefamenanu
1001	Kefamenanu Utara
1002	Aplasi
1003	Kefamenanu Tengah
1004	Bansone
1005	Benpasi
1006	Kefamenanu Selatan
1007	Tubuhue
1008	Maubeli
1009	Sasi
:06	Biboki Utara
1001	Boronubaen
2002	Hautaes
2003	Tualena
2004	Biloe
2005	Taunbaen
2006	Sapaen
2012	Lokomea
2013	Taunbaen Timur
2014	Hauteas Barat
1015	Boronubaen Timur
:07	Biboki Anleu
2001	Motadik
2002	Nonotbatan
2003	Sifaniha
2004	Maukabatan
2005	Kotafoun
2006	Tuamese
1007	Ponu
2008	Oemanu
2009	Nifutasi
:08	Insana
2005	Nansean
2006	Susulaku
2007	Loeram
2008	Manunain B
2010	Tapenpah
2011	Sekon
1015	Ainiut
1016	Nunmafo
2017	Oenbit
1018	Manunain A
2022	Susulaku B
1024	Fatoin
2025	Keun
2026	Fatu'Ana
2027	Botof
2028	Nansean Timur
1029	Bitauni
:09	Insana Utara
2006	Fatumtasa
2007	Oesoko
2008	Humusu Sainiup
2009	Humusu Oekolo
1010	Humusu C
:10	Noemuti Timur
2001	Naob
2002	Haekto
2003	Manikin
2004	Kuaken
:11	Miomaffo Tengah
2001	Tuabatan
2002	Akomi
2003	Bijaepasu
2004	Neonasi
2005	Nian
2006	Tuabatan Barat
:12	Musi
2001	Oelneke
2002	Oetulu
2003	Oeolo
2004	Ainan
2005	Bisafe
2006	Batnes
:13	Mutis
2001	Tasinifu
2002	Naekake A
2003	Naekake B
2004	Noelelo
:14	Bikomi Selatan
1001	Oelami
2002	Kiusili
2003	Naiola
2004	Maurisu
2005	Oetalus
1006	Tublopo
2007	Maurisu Utara
2008	Maurisu Selatan
2009	Maurisu Tengah
2010	Naiola Timur
:15	Bikomi Tengah
2001	Buk
2002	Oenenu
2003	Nimasi
2004	Oelbonak
2005	Kuenak
2006	Oenino
2007	Oenenu Utara
2008	Oenenu Selatan
2009	Sono
:16	Bikomi Nilulat
2001	Inbate
2002	Sunkaen
2003	Nainaban
2004	Haumeni Ana
2005	Nilulat
2006	Tubu
:17	Bikomi Utara
2001	Faenake
2002	Banain A
2003	Banain B
2004	Banain C
2005	Sainoni
2006	Tes
2007	Napan
2008	Haumeni
2009	Baas
:18	Naibenu
2001	Manamas
2002	Benus
2003	Bakitolas
2004	Sunsea
:19	Insana Fafinesu
2001	Fafinesu A
2002	Fafinesu B
2003	Fafinesu C
2004	Oenain
2005	Baunuan
2006	Fafinesu
:20	Insana Barat
2001	Subun
2002	Usapinonot
2003	Lapeom
2004	Letneo
2005	Bannae
1006	Atmen
2007	Atmen
2008	Letneo Selatan
2009	Oabikase
2010	Nifunenas
2011	Subun Bestobe
2012	Subun Tualele
:21	Insana Tengah
2001	Lanaus
2002	Letmafo
2003	Tainsala
1004	Maubesi
2005	Sone
2006	Letmafo Timur
2007	Oehalo
:22	Biboki Tan Pah
2001	Teba
2002	Oerinbesi
2003	Oekopa
2004	T'Eba Timur
:23	Biboki Moenleu
2001	Tunbes
2002	Luniup
2003	Matabesi
2004	Oepuah
2005	Kaubele
2006	Oepuah Utara
2007	Oepuah Selatan
:24	Biboki Feotleu
2001	Naku
2002	Birunatun
2003	Makun
2004	Manumean
2005	Kuluan
.04	Belu
:01	Lamaknen
2001	Kewar
2002	Fulur
2004	Duarato
2005	Makir
2006	Lamaksenulu
2008	Dirun
2009	Leowalu
2014	Maudemu
2015	Mahuitas
:02	TasifetoTimur
2001	Silawan
2002	Tulakadi
2003	Sadi
2004	Umaklaran
2005	Manleten
2006	Fatuba'a
2007	Dafala
2008	Takirin
2009	Bauho
2010	Sarabau
2018	Tialai
2019	Halimodok
:03	Raihat
2001	Asumanu
2002	Tohe
2003	Maumutin
2004	Raifatus
2005	Aitoun
2006	Tohe Leten
:04	Tasifeto Barat
2001	Tukuneno
2002	Naekasa
2003	Lookeu
2004	Derokfaturene
2005	Bakustulama
2006	Rinbesihat
2007	Naitimu
2009	Lawalutolus
:05	Kakuluk Mesak
2001	Fatuketi
2002	Dualaus
2003	Jenilu
2004	Kenebibi
2005	Leosama
2006	Kabuna
:12	Kota Atambua
1001	Kota Atambua
1002	Tenukiik
1003	Manumutin
1010	Fatubenao
:13	Raimanuk
2001	Mandeu Raimanus
2002	Renrua
2003	Dua Koran
2004	Mandeu
2005	Rafae
2006	Faturika
2007	Leuntolu
2008	Teun
2009	Tasain
:17	Lasiolat
2001	Lasiolat
2002	Maneikun
2003	Lakan Mau
2004	Dualasi Rai Ulun
2005	Dualasi
2006	Fatulotu
2007	Baudaok
:18	Lamaknen Selatan
2001	Ekin
2002	Loonuna
2003	Nualain
2004	Lakmaras
2005	Henes
2006	Debululik
2007	Sisi Fatuberal
2008	Lutha Rato
:21	Atambua Barat
1001	Bardao
1002	Tulamalae
1003	Umanen
1004	Beirafu
:22	Atambua Selatan
1001	Manuaman
1002	Rinbesi
1003	Lidak
1004	Fatukbot
:23	Nanaet Duabesi
2001	Dubesi
2002	Nanaet
2003	Fohoeka
2004	Nanaenoe
.05	Alor
:01	Teluk Mutiara
1001	Kalabahi Barat
1002	Kalabahi Kota
1003	Kalabahi Tengah
1004	Kalabahi Timur
1005	Binongko
1006	Nusa Kenari
1008	Welai Barat
1009	Welai Timur
1010	Mutiara
1011	Wetabua
2012	Lendola
2013	Fanating
2014	Motongbang
2015	Air Kenari
2018	Teluk Kenari
2019	Adang Buom
:02	Alor Barat Laut
1002	Adang
2003	Alor Kecil
2004	Alor Besar
2005	Ampera
2006	Dulolong
2007	Aimoli
2008	Alila
2009	Otvai
2012	Ternate
2013	Ternate Selatan
2014	Alila Selatan
2019	Pulau Buaya
2020	Hulnani
2022	O'a Mate
2023	Ala'ang
2024	Lefokisu
2025	Bampalola
2026	Lewalu
2027	Dulolong Barat
:03	Alor Barat Daya
1001	Moru
2002	Probur
2003	Tribur
2004	Wakapsir
2007	Morba
2008	Pintumas
2009	Wolwal
2010	Halerman
2013	Kafelulang
2014	Moramam
2015	Pailelang
2016	Wolwal Barat
2017	Wolwal Tengah
2018	Wolwal Selatan
2019	Probur Utara
2020	Manatang
2021	Orgen
2022	Wakapsir Timur
2023	Kuifana
2027	Margeta
