:09	IX Koto Sungai Lasi
2001	Taruang-Taruang
2002	Siaro-Aro
2003	Pianggu
2004	Sungai Durian
2005	Bukik Bais
2006	Sungai Jambur
2007	Guguak Sarai
2008	Koto Laweh
2009	Indudur
:10	Kubung
2001	Koto Baru
2002	Selayo
2003	Panyakalan
2004	Gaung
2005	Gantuang Ciri
2006	Saok Laweh
2007	Koto Hilalang
2008	Tanjung Bingkung
:11	X Koto Singkarak
2001	Sumani
2002	Tikalak
2003	Koto Sani
2004	Singkarak
2005	Aripan
2006	Kacang
2007	Tanjung Alai
2008	Saniangbaka
:12	X Koto Diatas
2001	Sulit Air
2002	Tanjung Balik
2003	Paninjauan
2004	Kuncir
2005	Katialo
2006	Pasilihan
2007	Bukit Kanduang
2008	Sibarambang
2009	Labuh Panjang
:13	Junjung Sirih
2001	Paninggahan
2002	Muaro Pingai
:17	Hiliran Gumanti
2001	Talang Babungo
2002	Sariak Alahan Tigo
2003	Sungai Abu
:18	Tigo Lurah
2001	Rangkiang Luluih
2002	Batu Bajanjang
2003	Garabak Data
2004	Tanjung Balik Sumiso
2005	Simanau
:19	Danau Kembar
2001	Simpang Tj. Nan IV
2002	Kampung Batu Dalam
.03	Sijunjung
:03	Tanjung Gadang
2001	Timbulun
2002	Tanjung Gadang
2003	Taratak Baru
2004	Pulasan
2005	Langki
2006	Sibakur
2007	Tanjung Lolo
2008	Taratak Baru Utara
2009	Sinyamu
:04	Sijunjung
2001	Muaro
2002	Kandang Baru
2003	Silokek
2004	Pematang Panjang
2005	Solok Ambah
2006	Paru
2007	Durian Gadang
2008	Aie Angek
2009	Sijunjung
:05	IV Nagari
2001	Palangki
2002	Koto Baru
2003	Muaro Bodi
2004	Mundam Sakti
2005	Koto Tuo
:06	Kamang Baru
2001	Sungai Lansek
2002	Kamang
2003	Muaro Takuang
2004	Aie Amo
2005	Sungai Batuang
2006	Kunangan Parik Rantang
2007	Tanjung Kaliang
2008	Padang Tarok
2009	Siaur
2010	Lubuk Tarantang
2011	Maloro
:07	Lubuak Tarok
2001	Lubuak Tarok
2002	Lalan
2003	Buluah Kasok
2004	Kampung Dalam
2005	Silongo
2006	Latang
:08	Koto VII
2001	Limo Koto
2002	Palaluar
2003	Guguak
2004	Padang Laweh
2005	Tanjung
2006	Bukit Bual
:09	Sumpur Kudus
2001	Silantai
2002	Sisawah
2003	Unggan
2004	Tanjung Bonai Aur
2005	Sumpur Kudus
2006	Tamparungo
2007	Kumanis
2008	Manganti
2009	Sumpur Kudus Selatan
2010	Tanjung Labuah
2011	Tanjung Bonai Aur Selatan
:10	Kupitan
2001	Batu Manjulur
2002	Pamuatan
2003	Padang Sibusuk
2004	Desa Kampung Baru
.04	Tanah Datar
:01	X Koto
2001	Tambangan
2002	Jaho
2003	Singgalang
2004	Paninjauan
2005	Panyalaian
2006	Koto Laweh
2007	Aie Angek
2008	Pandai Sikek
2009	Koto Baru
:02	Batipuh
2001	Andaleh
2002	Sabu
2003	Batipuah Ateh
2004	Batipuah Baruah
2005	Gunuang Rajo
2006	Pitalah
2007	Tanjuang Barulak
2008	Bungo Tanjuang
:03	Rambatan
2001	Simawang
2002	Balimbiang
2003	III Koto
2004	Padang Magek
2005	Rambatan
:04	Lima Kaum
2001	Baringin
2002	Limo Kaum
2003	Parambahan
2004	Cubadak
2005	Labuh
:05	Tanjung Emas
2001	Tanjung Barulak
2002	Saruaso
2003	Koto Tangah
2004	Pagaruyung
:06	Lintau Buo
2001	Taluak
2002	Buo
2003	Tigo Jangko
2004	Pangian
:07	Sungayang
