52	Nusa Tenggara Barat
.01	Lombok Barat
:01	Gerung
1001	Gerung Utara
2002	Kebon Ayu
2003	Gapuk
1004	Dasan Geres
2005	Suka Makmur
2006	Banyu Urip
2007	Babussalam
2008	Dasan Tapen
2009	Beleke
2010	Tempos
1011	Gerung Selatan
2012	Mesanggok
2013	Taman Ayu
2014	Giri Tembesi
:02	Kediri
2001	Kediri
2002	Montong Are
2003	Jagaraga Indah
2004	Gelogor
2005	Rumak
2006	Banyumulek
2007	Ombe Baru
2008	Dasan Baru
2009	Kediri Selatan
2010	Lelede
:03	Narmada
2001	Lembuak
2002	Nyur Lembang
2003	Peresak
2004	Keru
2005	Batu Kuta
2006	Tanak Beak
2007	Sedau
2008	Suranadi
2009	Selat
2010	Lebah Sempage
2011	Sesaot
2012	Dasan Tereng
2013	Badrain
2014	Sembung
2015	Kramat Jaya
2016	Grimax Indah
2017	Pakuan
2018	Golong
2019	Mekarsari
2020	Buwun Sejati
2021	Narmada
:07	Sekotong
2001	Sekotong Tengah
2002	Sekotong Barat
2003	Pelangan
2004	Buwun Mas
2005	Kedaro
2006	Batu Putih
2007	Gili Gede Indah
2008	Cendi Manik
2009	Taman Baru
:08	Labuapi
2001	Bengkel
2002	Merembu
2003	Bagik Polak
2004	Telagawaru
2005	Perampuan
2006	Bajur
2007	Terong Tawah
2008	Kuranji
2009	Karang Bongkot
2010	Labuapi
2011	Bagik Polak Barat
2012	Kuranji Dalang
:09	Gunungsari
2001	Gunungsari
2002	Midang
2003	Sesele
2004	Kekait
2005	Kekeri
2006	Mambalan
2007	Dopang
2008	Penimbung
2009	Taman Sari
2010	Jatisela
2011	Guntur Macan
2012	Mekar Sari
2013	Ranjok
2014	Gelangsar
2015	Jeringo
2016	Bukittinggi
:12	Lingsar
2001	Lingsar
2002	Batu Kumbang
2003	Sigerongan
2004	Duman
2005	Karang Bayan
2006	Langko
2007	Dasan Geria
2008	Peteluan Indah
2009	Gegerung
2010	Batu Mekar
2011	Giri Madia
2012	Bug-Bug
2013	Gegelang
2014	Saribaye
2015	Gontoran
:13	Lembar
2001	Lembar
2002	Jembatan Kembar
2003	Mareje
2004	Sekotong Timur
2005	Labuan Tereng
2006	Jembatan Gantung
2007	Lembar Selatan
2008	Mareje Timur
2009	Jembatan Kembar Timur
2010	Eyat Mayang
:14	Batu Layar
2001	Batulayar
2002	Meninting
2003	Sandik
