2002	Tanjung Niur
2003	Sangku
2004	Buyan Kelumbi
2005	Penyampak
2006	Benteng Kota
2007	Air Lintang
2008	Sinar Surya
2009	Simpang Yul
:06	Parittiga
2001	Sekar Biru
2002	Telak
2003	Cupat
2004	Bakit
2005	Puput
2006	Air Gantang
2007	Kelabat
2008	Kapit
2009	Semulut
2010	Teluk Limau
.06	Belitung Timur
:01	Manggar
2001	Lalang Jaya
2002	Kurnia Jaya
2003	Padang
2004	Kelubi
2006	Lalang
2007	Baru
2010	Buku Limau
2012	Mekar Jaya
2013	Bentaian Jaya
:02	Gantung
2001	Gantung
2002	Selingsing
2003	Jangkar Asam
2004	Lilangan
2009	Lenggang
2010	Batu Penyu
2011	Limbongan
:03	Dendang
2001	Dendang
2002	Jangkang
2005	Nyuruk
2008	Balok
:04	Kelapa Kampit
2001	Mentawak
2002	Senyubuk
2003	Cendil
2005	Buding
2006	Mayang
2007	Pembaharuan
:05	Damar
2001	Air Kelik
2002	Mempaya
2003	Burong Mandi
2004	Mengkubang
2005	Sukamandi
:06	Simpang Renggiang
2001	Simpang Tiga
2002	Renggiang
2003	Aik Madu
2004	Lintang
:07	Simpang Pesak
2001	Simpang Pesak
2002	Tanjung Batu Itam
2003	Tanjung Kelumpang
2004	Dukong
.71	Pangkal Pinang
:01	Bukitintan
1004	Semabung Lama
1006	Bacang
1007	Air Itam
1008	Pasir Putih
1009	Temberan
1010	Sinar Bulan
1011	Air Mawar
:02	Taman Sari
1001	Opas Indah
1002	Gedung Nasional
1003	Batin Tikal
1004	Rawa Bangun
1005	Kejaksaan
:03	Pangkal Balam
1004	Pasir Garam
1005	Lontong Pancur
1006	Ketapang
1007	Ampui
1008	Rejo Sari
:04	Rangkui
1001	Pintu Air
1002	Bintang
1005	Masjid Jamik
1006	Asam
1007	Melintang
1008	Parit Lalang
1009	Keramat
1010	Gajah Mada
:05	Gerunggang
1001	Taman Bunga
1002	Bukitmerapin
1004	Bukitsari
1005	Tua Tunu
1006	Kacang Pedang
1007	Air Kepala Tujuh
