11	Aceh
.01	Aceh Selatan
:01	Bakongan
2001	Keude Bakongan
2002	Ujong Mangki
2003	Ujong Padang
2004	Gampong Drien
2015	Darul Ikhsan
2016	Padang Beurahan
2017	Gampong Baro
:02	Kluet Utara
2001	Fajar Harapan
2002	Krueng Batee
2003	Pasi Kuala Asahan
2004	Gunung Pulo
2005	Pulo Ie I
2006	Jambo Manyang
2007	Simpang Empat
2008	Limau Purut
2009	Pulo Kambing
2010	Kampung Paya
2011	Krueng Batu
2012	Krueng Kluet
2013	Alur Mas
2014	Kampung Tinggi
2015	Ruak
2016	Simpang Lhee
2017	Suaq Geuringgeng
2018	Pasi Kuala Ba'u
2019	Kedai Padang
2020	Kotafajar
2021	Gunung Pudung
:03	Kluet Selatan
2001	Suaq Bakung
2002	Rantau Binuang
2003	Barat Daya
2004	Sialang
2005	Kapeh
2006	Pulo Ie
2007	Kedai Runding
2008	Kedai Kandang
2009	Gampong Luar
2010	Ujung
2011	Jua
2012	Pasi Meurapat
2013	Ujung Pasir
2014	Geulumbuk
2015	Pasie Lembang
2016	Ujung Padang
2017	Indra Damai
:04	Labuhan Haji
2001	Bakau Hulu
2002	Padang Bakau
2003	Manggis Harapan
2004	Pasar Lama
2005	Apha
2006	Ujung Batu
2007	Pawoh
2008	Dalam
2009	Kota Palak
2010	Cacang
2011	Tengah Pisang
2012	Pisang
2013	Hulu Pisang
2014	Tengah Baru
2015	Lembah Baru
2016	Padang Baru
:05	Meukek
2001	Kuta Buloh II
2002	Kuta Buloh I
2003	Ie Dingen
2004	Drien Jalo
2005	Jambo Papeun
2006	Buket Meuh
2007	Blang Kuala
2008	Rot Teungoh
2009	Alue Baro
2010	Ladang Tuha
2011	Lhok Mamplam
2012	Arun Tunggai
2013	Blang Teungoh
2014	Blang Bladeh
2015	Ie Buboh
2016	Keude Meukek
2017	Kuta Baro
2018	Tanjung Harapan
2019	Labuhan Tarok
2020	Lhok Aman
2021	Alue Meutuah
2022	Ladang Baro
2023	Labuhan Tarok II
:06	Samadua
2001	Dalam
2002	Subarang
2003	Kuta Baru
2004	Gunung Ketek
2005	Ladang Panton Luas
2006	Madat
2007	Alur Seumerah
2008	Tengah
2009	Gunung Cut
2010	Alur Pinang
2011	Kuta Blang
2012	Batee Tunggai
2013	Ujung Tanah
2014	Ujung Kampung
2015	Jilatang
2016	Luar
2017	Lubuk Layu
2018	Suaq Hulu
2019	Tampang
2020	Payonan Gadang
2021	Gadang
2022	Baru
2023	Ladang Kasik Putih
2024	Air Sialang Hilir.
2025	Air Sialang Hulu
2026	Air Sialang Tengah
2027	Balai
2028	Arafah
:07	Sawang
2001	Sikulat
2002	Sawang I
2003	Meuligo
2004	Lhok Pawoh
2005	Sawang II
2006	Ujung Karang
2007	Trieng Meuduro Baroh
2008	Trieng Meuduro Tunong
2009	Panton Luas
2010	Simpang Tiga
2011	Kuta Baro
2012	Blang Geulinggang
2013	Mutiara
2014	Ujung Padang
2015	Sawang Ba'u
:08	Tapaktuan
2001	Lhok Keutapang
2002	Hilir
2003	Padang
2004	Hulu
2005	Jambo Apha
2006	Tepi Air
2007	Pasar
2008	Lhok Bengkuang
2009	Panton Luas
2010	Gunung Kerambil
2011	Air Berudang
2012	Batu Itam
2013	Panjupian
2014	Lhok Rukam
2015	Air Pinang
2016	Lhok Bengkuang Timur
:09	Trumon
2001	Keude Trumon
2002	Ujong Tanoh
2003	Sigleng
2004	Ie Meudama
2005	Teupin Tinggi
2006	Kuta Baro
2007	Panton Bilie
2012	Kuta Padang
2013	Raket
2014	Gampong Teungoh
2015	Seuneubok Jaya
2016	Padang Harapan
:10	Pasi Raja
2001	Ladang Teungoh
2002	Pucok Krueng
2003	Silolo
2004	Kampung Baru
2005	Panton Bili
2006	Paya Ateuk
2007	Ladang Tuha
2008	Mata Ie
2009	Ujong Batee
2010	Lhok Sialang Cut
2011	Seuneubok
2012	Ie Mirah
2013	Pasie Rasian
2014	Ujung Padang Rasian
2015	Krueng Kalee
2016	Lhok Sialang Rayeuk
2017	Gampong Baro
