15	Jambi
.01	Kerinci
:01	Gunung Raya
2001	Selam Paung
2002	Air Mumu
2003	Lempur Mudik
1004	Lempur Tengah
2005	Masgo
2006	Lempur Hilir
2011	Kebun Baru
2012	Perikan Tengah
2013	Dusun Baru Lempur
2016	Sungaihangat
2018	Manjunto Lempur
2019	Kebun Lima
:02	Danau Kerinci
2001	Sanggaran Agung
2002	Kota Baru Sanggaran Agung
2003	Pendung Talang Genting
2004	Seleman
2005	Tebing Tinggi
2006	Cupak
2007	Tanjungtanah
2008	Koto Tengah
2009	Koto Iman
2010	Ujung Pasir
2011	Koto Petai
2012	Koto Salak
2013	Simpang Empat
2014	Talang Kemulun
2015	Dusun Baru Tanjung Tanah
2016	Pasar Sore Seleman
2017	Koto Tuo Ujung Pasir
2018	Tanjungharapan
2019	Agung Koto Iman
:04	Sitinjau Laut
2001	Kayu Aro Ambai
2002	Bunga Tanjung
2004	Semerah
2005	Sebukar
2008	Hiang Tinggi
2009	Ambai Atas
2010	Tanjungmudo
2011	Pendung Tengah
2012	Pendung Hilir
2013	Koto Baru Hiang
2014	Betung Kuning
2025	Pondok Beringin
2026	Ambai Bawah
2028	Hiang Karya
2029	Hiang Lestari
2030	Angkasa Pura
2031	Hiang Sakti
2032	Baru Semerah
2033	Koto Sekilan Ambai
2034	Penawar Tinggi
:05	Air Hangat
2002	Baru Semurup
2004	Koto Dua Lama
2012	Koto Di Air
2013	Pasar Semurup
2014	Balai
2015	Koto Majidin Hilir
2016	Pendung Hilir
2018	Pendung Mudik
2022	Air Tenang
2024	Muara Semerah
2029	Koto Majidin Mudik
2035	Muara Semerah Mudik
2036	Sawahan Koto Majidin
2037	Sawahan Jaya
2038	Koto Majidin Di Air
2039	Pendung Tengah
:06	Gunung Kerinci
1009	Siulak Deras
2010	Sungaibetung Hilir
2011	Sungaibatu Gantih
2012	Tanjunggenting
2013	Simpang Tutup
2014	Suko Pangkat
2015	Sungaibetung Mudik
2016	Danautinggi
2017	Sungaigelampeh
2018	Siulak Deras Mudik
2019	Siulak Tenang
2039	Sungai Batu Gantih Hilir
2040	Baru Sungai Betung Mudik
2041	Tanjunggenting Mudik
2042	Air Betung
2043	Ujung Ladang
:07	Batang Merangin
2004	Tarutung
2006	Lubuk Paku
2007	Tamiai
2008	Pematang Lingkung
2009	Pasar Tamiai
2010	Seberang Merangin
2011	Baru Pulau Sangkar
2013	Batang Merangin
2014	Muara Hemat
:08	Keliling Danau
2001	Jujun
2002	Talang Lindung
2003	Keluru
2004	Pidung
2005	Tanjungbatu
2006	Benik
2007	Kt Tuo P. Tengah
2008	Kt. Dian P. Tengah
2009	Tanjungpauh Mudik
2010	Tanjungpauh Hilir
2011	Semerap
2012	Lempur Danau
2013	Dsn. Baru P. Tengah
2014	Koto Baru Semerap
2015	Koto Patah
2016	Punai Merindu
2017	Pondok Saguang
2018	Telago
2019	Koto Agung
2020	Pancuran Tiga
2021	Permai Baru
2022	Pulautengah
2023	Koto Baru
2024	Pasar Semerap
2025	Jembatan Merah Pulau Tengah
2026	Limok Manaih Pulau Tengah
2027	Pasar Jujun
2028	Pancuran Bangko
2029	Sumur Jauh
2030	Koto Tengah
2031	Bukitpulai
2032	Serumpun Pauh
:09	Kayu Aro
2010	Koto Tuo
2011	Sungaitanduk
2012	Kersik Tuo
2013	Sangir
2014	Koto Baru
2015	Koto Panjang
2016	Koto Tengah
2017	Sungaibendung Air
2022	Sungaisampun
2024	Bedeng Baru
2025	Batang Sangir
2030	Sungaidalam
2038	Koto Periang
2039	Lindung Jaya
2041	Renah Kasah
2042	Pasar Sungai Tanduk
2043	Mekar Sari
2045	Mekar Jaya
2047	Sangir Tengah
2048	Tanjungbungo
2049	Bendung Air Timur
:11	Air Hangat Timur
2001	Kemantan Tinggi
2002	Kemantan Kebalai
2003	Kemantan Darat
2004	Sungaiabu
2005	Pondok Sungaiabu
2006	Koto Tebat
2007	Sungaimedang
2008	Air Hangat
2009	Baru Sungai Tutung
2010	Pungut Tengah
2011	Pungut Hilir
2012	Pungut Mudik
2014	Kemantan Hilir
2015	Sungaitutung
2018	Kemantan Agung
2019	Sungaideras
2020	Kemantan Mudik
2021	Simpang Empat Sungai Tutung
2022	Baru Sungaideras
2023	Taman Jernih Sungaitutung
2024	Baru Sungaimedang
2025	Kemantan Raya
2026	Baru Air Hangat
2027	Air Panas Sungaiabu
2028	Baru Sungaiabu
:15	Gunung Tujuh
2001	Sungairumpun
2002	Sungaisikai
2003	Tangkil
2004	Pelompek
2005	Jernih Jaya
2006	Bengkolan Duo
2007	Lubuk Pauh
2008	Telun Berasap
2009	Bumbun Duri
2010	Pesisir Bukit
2011	Pauh Tinggi
2012	Sungaijernih
2013	Pelompek Pasar Baru
:16	Siulak
2001	Siulak Gedang
2004	Pasar Siulak Gedang
2005	Siulak Panjang
2006	Siulak Kecil Mudik
2007	Koto Rendah
2009	Lubuk Nagodang
2010	Sungaipegeh
2011	Sungailebuh
2012	Koto Kapeh
2013	Koto Beringin
2014	Dusun Baru
2015	Dusun Dalam
2016	Air Terjun
2019	Koto Aro
2021	Koto Lebuh Tinggi
2024	Siulak Kecil Hilir
2025	Koto Tengah
2028	Telago Biru
2030	Tutung Bungkuk
2033	Baru Sungaipegeh
2034	Bendar Sedap
2035	Plak Naneh
2036	Padang Jantung
2038	Pelak Gedang
2039	Demong Sakti
2040	Pasar Senen
:17	Depati Tujuh
2001	Belui
2002	Baru Kubang
2003	Koto Panjang
2004	Kubang Gedang
2005	Semumu
2006	Belui Tinggi
2007	Koto Tuo
2008	Koto Payang
2009	Tebat Ijuk
2010	Sekungkung
2011	Simpang Belui
2012	Koto Lanang
2013	Ladeh
2014	Lubuk Suli
2015	Kayu Aho Mangkak Koto Lanang
2016	Tambak Tinggi
2017	Kubang Agung
2018	Tebat Ijuk Dili
2019	Koto Simpai Kubang
2020	Pahlawan Belui
:18	Siulak Mukai
2001	Mukai Hilir
2002	Mukai Tengah
2003	Mukai Mudik
2004	Senimpik
2005	Tebing Tinggi
2006	Mukai Tinggi
2007	Mukai Pintu
2008	Sungailangkap
2009	Pasir Jaya
2010	Sungaikuning
2011	Mukai Seberang
2012	Talang Tinggi
2013	Lubuk Tabun
2014	Koto Lua
:19	Kayu Aro Barat
2001	Batu Hampar
2002	Sungairenah
2003	Bedeng Delapan
2004	Bedeng Dua
2005	Sako Duo
2006	Sungailintang
2007	Kebun Baru
2008	Patok Empat
2009	Sungaijambu
2010	Sungaikering
2011	Giri Mulyo
2012	Gununglabu
2013	Bento
2014	Kampung Baru
2015	Sungaiasam
2016	Pasar Minggu
2017	Ensatu
:20	Bukitkerman
2001	Pasar Kerman
2002	Lolo Gedang
2003	Lolo Kecil
2004	Lolo Hilir
2005	Tanjung Syam
2006	Talang Kemuning
2007	Pondok
2008	Muak
2009	Pengasi Lama
2010	Pulaupandan
2011	Pulausangkar
2012	Bintang Marak
2013	Karang Pandan
2014	Pengasi Baru
2015	Muaro Lulo
:21	Air Hangat Barat
2001	Koto Mebai
2002	Baru
2003	Air Panas
2004	Hamparan Pugu
2005	Pugu
2006	Koto Mudik
2007	Koto Tengah
2008	Koto Datuk
2009	Koto Dua Baru
2010	Koto Cayo
2011	Kecil
2012	Air Bersih
.02	Merangin
:01	Jangkat
2001	Renah Kemumu
2002	Tanjung Kasri
2003	Lubuk Mentilin
2004	Rantau Kermas
2005	Renah Alai
2008	Pulau Tengah
2009	Lubuk Pungguk
2010	Koto Renah
2011	Muara Madras
2023	Renah Pelaan
2024	Koto Rawang
:02	Bangko
2004	Kungkai
2008	Mudo
1009	Pasar Atas
1010	Pasar Bangko
1011	Dusun Bangko
2012	Langling
1013	Pematang Kandis
2024	Sungai Kapas
:03	Muara Siau
2004	Durian Rambun
2007	Lubuk Birah
2008	Lubuk Beringin
2009	Rantau Macang
2010	Peradu Temberas
2011	Teluk Sikumbang
2012	Muara Siau
2013	Tiaro
2015	Air Lago
2016	Badak Tekurung
2017	Rantau Bidaro
2018	Rantau Panjang
2021	Pulau Raman
2024	Pasar Muara Siau
2027	Sepantai Renah
2028	Sungai Ulas
2029	Rantau Bayur
:04	Sungai Manau
2007	Sungai Pinang
2008	Tiangko
2009	Palipan
2010	Seringat
2011	Durian Lecah
2015	Bukit Batu
2016	Sungai Nilau
2017	Sungai Manau
2025	Benteng
2026	Gelanggang
:05	Tabir
1002	Dusun Baru
1003	Pasar R. Panjang
1005	Kampung Baruh
2007	Kandang
2008	Koto Rayo
2011	Tanjung Ilir
