92	Papua Barat
.01	Sorong
:01	Makbon
1001	Makbon
2002	Asbaken
2004	Malaumkarta
2005	Batu Lubang
2007	Batu Lubang Pantai
2008	Kwadas
2009	Bainkete
2010	Teluk Dore
2011	Sawatuk
2012	Malagasih
2013	Klasimigik
2014	Klasigi
2015	Klagulus
2016	Suatolo
2017	Mibi
:04	Beraur
2001	Klabra
2002	Wanurian
2009	Klarion
2011	Kaas
2015	Wensi
2016	Mumpi
2019	Klamak
2020	Serselion
2022	Kmafo
2027	Midlal
2028	Sorain
2033	Armoin
2034	Serselion Baru
:05	Salawati
1001	Katinim
1006	Majener
1007	Majaran
1009	Matawolot
2011	Walal
2012	Malaus
2018	Rawa Sugi
:06	Seget
2001	Seget
2004	Malaban
2005	Pulau Kasim
2010	Kasimle
2011	Wewenagu
2012	Wasingsan
2013	Klayas
2014	Wayenkede
2015	Mobi
:07	Aimas
1001	Aimas
1002	Malawili
1003	Malawele
1006	Mariat Pantai
1026	Mariat Gunung
2028	Maibo
1029	Warmon
1030	Klabinain
1031	Malasom
1032	Klaigit
2033	Aimo
1034	Malagusa
1035	Klafma
2038	Malasaum
:08	Klamono
2001	Klawana
2002	Klamano
2003	Wariayau
2008	Klamono
2009	Wonosari
2010	Gisim Darat
2013	Mlais
2020	Mlasmily
2021	Klasafet
2022	Posa
:10	Sayosa
2001	Sayosa
2004	Maladofok
2006	Yorbes
2011	Samusa
2012	Klamintu
2014	Klain
:12	Segun
2001	Segun
2002	Gisim
2003	Waimon
2004	Klasegun
2005	Waimlabat
2006	Majemau
2008	Klasin
2009	Klajaring
2010	Malamas
:13	Mayamuk
1001	Makbusum
1002	Makbalim
1003	Makotyamsa
2004	Jeflio
2005	Arar
2006	Klalin
2007	Klasmelek
2008	Wen
2009	Warmon Kokoda
2010	Asjidba
2011	Malamay
:14	Salawati Selatan
2001	Sailolof
2002	Klotlol
2007	Dulbatan
2008	Manoket
2011	Payapop
2012	Masmaspop
:17	Klabot
2003	Indiwi
2004	Klabot
2005	Mlat
2008	Mlawes
2009	Mlasfa
2010	Kanolo
2014	Somir
2015	Warkti
:18	Klawak
2001	Wilty
2004	Mlawen
2008	Byaklokfle
2009	Tbotjin
2010	Sas
2011	Samolslo
2012	Kmasen
2013	Klasawon
