62	Kalimantan Tengah
.01	Kotawaringin Barat
:01	Kumai
2001	Sungai Cabang
2002	Teluk Pulai
2003	Sabuai
2004	Keraya
2005	Teluk Bogam
2006	Sungai Bakau
2007	Kubu
2008	Sungai Kapitan
2009	Batu Belaman
2010	Sungai Tendang
1011	Candi
1012	Kumai Hulu
1013	Kumai Hilir
2014	Sungai Sekonyer
2015	Sungai Bedaun
2017	Bumi Harjo
2032	Pangkalan Satu
2034	Sabuai Timur
:02	Arut Selatan
2001	Tanjung Putri
1002	Mendawai Seberang
1003	Mendawai
2004	Pasir Panjang
1005	Madurejo
1006	Sidorejo
1007	Raja
1008	Raja Seberang
1009	Baru
2010	Rangda
2011	Kenambui
2012	Runtu
2013	Umpang
2014	Kumpai Batu Bawah
2015	Kumpai Batu Atas
2016	Natai Raya
2017	Medang Sari
2018	Natai Baru
2019	Tanjung Terantang
2020	Sulung
:03	Kotawaringin Lama
2001	Babual Baboti
2002	Tempayung
2003	Sakabulin
2004	Kinjil
2005	Dawak
2006	Riam Durian
1007	Kotawaringin Hulu
1008	Kotawaringin Hilir
2009	Lalang
2010	Rungun
2011	Kondang
2012	Suka Jaya
2013	Suka Makmur
2014	Sumber Mukti
2015	Palih Baru
2016	Ipuh Bangun Jaya
2017	Sagu Suka Mulya
:04	Arut Utara
2001	Nanga Mua
1002	Pangkut
2003	Sukarami
2004	Gandis
2005	Kerabu
2006	Sambi
2007	Penyombaan
2008	Pandau
2009	Riam
2010	Panahan
2011	Sungai Dau
:05	Pangkalan Lada
2001	Pangkalan Tiga
2002	Pandu Sanjaya
2003	Lada Mandala Jaya
2004	Makarti Jaya
2005	Sumber Agung
2006	Purbasari
2007	Sungai Rangit Jaya
2008	Pangkalan Dewa
2009	Kadipi Atas
2010	Sungai Melawen
2011	Pangkalan Durin
:06	Pangkalan Banteng
2001	Pangkalan Banteng
2002	Mulya Jadi
2003	Karang Mulya
2004	Kebun Agung
2005	Sido Mulyo
2006	Marga Mulya
2007	Amin Jaya
2008	Arga Mulya
2009	Natai Kerbau
2010	Simpang Berambai
2011	Sungai Hijau
2012	Sungai Pakit
2013	Berambai Makmur
2014	Karang Sari
2015	Sungai Pulau
2016	Sungai Bengkuang
2017	Sungai Kuning
.02	Kotawaringin Timur
:01	Kota Besi
2003	Palangan
2004	Hanjalipan
2005	Simpur
2006	Pamalian
2007	Camba
2008	Kandan
1009	Kota Besi Hulu
1010	Kota Besi Hilir
2012	Bajarum
2015	Rasau Tumbuh
2017	Soren
:02	Cempaga
2004	Rubung Buyung
2005	Patai
2006	Luwuk Ranggan
2007	Jemaras
2008	Cempaka Mulia Timur
2009	Cempaka Mulia Barat
2010	Luwuk Bunter
2011	Sungai Paring
:03	Mentaya Hulu
2001	Tangar
2002	Baampah
2003	Kawan Batu
2004	Tanjung Bantur
2005	Penda Durian
2006	Pahirangan
2007	Satiung
2008	Santilik
2009	Tangka Robah
2010	Pemantang
2011	Tumbang Sapiri
1012	Kuala Kuayan
2014	Bawan
2015	Tanjung Jariangau
2031	Kapuk
2032	Pantap
:04	Parenggean
2001	Tehang
2002	Kabuau
1004	Parenggean
2007	Barunang Miri
2009	Sumber Makmur
2010	Mekar Jaya
2011	Karang Tunggal
2012	Bandar Agung
2013	Beringin Tunggal Jaya
2015	Sari Harapan
2016	Karang Sari
2019	Bajarau
2023	Bukit Harapan
2024	Manjalin
2025	Karya Bersama
:05	Baamang
1001	Baamang Hilir
1002	Baamang Tengah
