82	Maluku Utara
.01	Halmahera Barat
:01	Jailolo
2001	Gufasa
2002	Guaimaadu
2003	Jalan Baru
2004	Gam Lamo
2005	Soakonora
2006	Galala
2007	Bobanehena
2008	Payo
2009	Bobo
2010	Saria
2011	Idam Dehe
2012	Idamdehe Gamsungi
2013	Marmabati
2014	Gamtala
2015	Lolory
2016	Toboso
2017	Huku-Huku Kie
2018	Acango
2019	Tedeng
2020	Akediri
2021	Pornity
2022	Buku Matiti
2023	Todowongi
2024	Tuada
2025	Matui
2026	Buku Bualawa
2027	Tauro
2034	Hate Bicara
2035	Guaria
2036	Pateng
2037	Bobo Jiko
2038	Ulo
2039	Kuripasai
2040	Buku Maadu
:02	Loloda
2001	Kedi
2002	Soasio
2003	Totala
2004	Tolofuo
2005	Tuguis
2006	Tasye
2007	Laba Besar
2008	Laba Kecil
2009	Jano
2010	Bakun
2011	Buo
2012	Bakun Pante
2013	Barataku
2014	Gam Kahe
2015	Puma Dadar
2016	Baja
2018	Kahatola
2019	Bosala
2020	Salu
2021	Tosomolo
2022	Jange Lili
2023	Bantoli
2024	Linggua
2025	Tomodo
2026	Totala Jaya
2027	Bilote
2028	Aruku
:03	Ibu
2012	Togola Wayoli
2013	Togola Sangir
2014	Tahafo
2015	Tongute Ternate
2016	Akesibu
2017	Maritango
2018	Kie Ici
2019	Tongute Goin
2020	Tungute Sungi
2021	Gam Ici
2022	Tobaol
2023	Gamlamo
2037	Naga
2040	Soana Masungi
2041	Tongute Ternate Selatan
2042	Ake Boso
2043	Kampung Baru
:04	Sahu
2001	Susupu
2002	Lako Akelamo
2003	Taruba
2004	Todahe
2005	Peot
2006	Sasur
2007	Goro goro
2008	Tacim
2009	Balisoang
2010	Worat-worat
2011	Tacici
2012	Taraudu
2013	Golo
2028	Lako Akederi
2029	Jara Kore
2030	Ropu Tengah Balu
2033	Dere
2034	Balisoan Utara
2035	Sasur Pantai
:05	Jailolo Selatan
2001	Sidangoli Gam
2002	Sidongoli Dehe
2003	Domato
2004	Tataleka
2005	Gamlenge
2006	Akejailolo
2007	Biamaahi
2008	Tuguraci
2009	Akeara
2010	Akelaha
2011	Dodinga
2012	Tewe
2013	Toniku
2014	Rioribati
2021	Taba Damai (DB)
2022	Moiso
2023	Braha
2024	Bangkit Rahmat
2025	Bobane Dano
2026	Suka Damai
2027	Hijrah
2028	Ratem
:07	Ibu Utara
2001	Podol
2002	Tengowango
2003	Togowo
2004	Duono
2005	Goin
2006	Sangaji Nyeku
2007	Tuguis
2008	Togoreba Sungi
2009	Barona
2010	Todoke
2011	Tolisaor
2012	Pasalulu
2013	Togoreba Tua
2014	Tukuoku
2015	Soasangaji
2016	Aru Jaya
:08	Ibu Selatan
2001	Tosoa
2002	Tobobol
2003	Baru
2004	Nanas
2005	Jere
2006	Gamsungi
2007	Bataka
2008	Talaga
2009	Tobelos
2010	Gamkonora
2011	Sarau
2012	Ngawet
2013	Adu
2014	Gamsida
2015	Ngalo Ngalo
2016	Tuguaer
:09	Sahu Timur
2001	Loce
2002	Idam Gamlamo
2003	Gamomeng
2004	Akelamo
2005	Taraudu Kusu
2006	Awer
2007	Aketola
2008	Tibobo
2009	Hoku- hoku Gam
2010	Gamiyel
2011	Golago Kusuma
2012	Ngaon
2013	Gamsugi
2014	Taba Campaka
2015	Campaka
2016	Goal
2017	Sidodadi
2018	Air Panas
.02	Halmahera Tengah
:01	Weda
2004	Nusliko
2005	Were
2020	Fidy Jaya
2021	Sidanga
2022	Nurweda
2023	Wedana
2024	Goeng
:02	Patani
2004	Wailegi
2005	Kipai
2006	Yeisowo
2012	Yondeliu
2013	Baka Jaya
:03	Pulau Gebe
2001	Kapaleo
2002	Kacepi
2003	Sanafi
2004	Umera
2005	Umiyal
2006	Sonof Kacepo
2007	Elfanun
2008	Yang
:04	Weda Utara
2001	Gemaf
2002	Sagea
2003	Fritu
2004	Waleh
2008	Kiya
:05	Weda Selatan
2001	Tilope
2002	Sosowomo
2003	Loleo
2004	Wairoro Indah
2005	Kluting Jaya
2006	Lembah Asri
2007	Sumber Sari
2008	Air Salobar
:06	Patani Utara
2001	Gemia
2002	Tepeleo
2006	Bilifitu
2007	Tepeleo Batudua
2008	Pantura Jaya
2011	Maliforo
:07	Weda Tengah
2001	Lililef Waibulan
2002	Lililef Sawai
2003	Sawai Itepo
2004	Kobe
2005	Woekob
2006	Woejerana
2007	Kulo Jaya
:08	Patani Barat
2001	Banemo
2002	Bobane Jaya
2003	Bobane Indah
2004	Mareala
2005	Sibenpope
:09	Weda Timur
2001	Dotte
2002	Messa
2003	Kotalo
2004	Yeke
:10	Patani Timur
2001	Sakam
2002	Nursifa
2003	Damuli
2004	Peniti
2005	Masure
2006	Palo
