17	Bengkulu
.01	Bengkulu Selatan
:01	Kedurang
2001	Batu Ampar
2002	Rantau Sialang
2003	Bumi Agung
2004	Palak Siring
2005	Keban Agung I
2006	Keban Agung II
2007	Tanjung Alam
2008	Tanjung Negara
2009	Keban Agung III
2010	Suka Nanti
2011	Muara Tiga
2012	Tanjung Besar
2013	Pajar Bulan
2014	Durian Sebatang
2015	Lawang Agung
2027	Nanti Agung
2028	Karang Agung
2029	Lubuk Resam
2030	Muara Tiga Ilir
:02	Seginim
2001	Padang Lebar
2002	Sukaraja
2004	Tanjung Menang
2005	Darat Sawah
2006	Kota Agung
2007	Babatan Ilir
2008	Babatan Ulu
2009	Muara Danau
2011	Gunung Ayu
2014	Muara Pulutan
2015	Kota Bumi Baru
2016	Sindang Bulan
2017	Muara Payang
2018	Durian Seginim
2020	Banding Agung
2021	Pajar Bulan
2022	Dusun Tengah
2023	Padang Siring
1024	Pasar Baru
2029	Darat Sawah Ulu
2030	Tanjung Agung
2031	Dusun Baru
:03	Pino
2001	Tanjung Aur I
2002	Anggut
2003	Tanjung Eran
2004	Padang Lebar
2005	Gedung Agung
2015	Batu Bandung
2016	Ulak Lebar
2017	Kota Bumi
1018	Masat
2019	Air Umban
2020	Sebilo
2021	Ganjuh
2022	Puding
2023	Padang Tambak
2024	Padang Mumpo
2025	Beringin Datar
:04	Manna
2001	Tanjung Raman
2016	Tanjung Besar
2017	Manggul
2018	Terulung
2019	Ketaping
2020	Lubuk Sirih Ulu
2021	Lubuk Sirih Ilir
1022	Kayu Kunyit
2023	Kota Padang
2024	Mela'o
2025	Gunung Sakti
2026	Jeranglah Rendah
2027	Jeranglah Tinggi
2028	Kembang Ayun
2029	Tambangan
2031	Padang Manis
2032	Padang Pandan
2033	Gunung Kembang
:05	Kota Manna
2001	Pagar Dewa
2004	Padang Niur
2005	Tebat Kubu
2006	Gelumbang
1009	Gunung Ayu
1010	Kota Medan
1016	Kampung Baru
1017	Pasar Baru
2018	Padang Berangin
1019	Ibul
1020	Padang Kapuk
:06	Pino Raya
2001	Selali
2002	Air Kemang
2003	Pasar Pino
2004	Tanggo Raso
2005	Talang Padang
2006	Tungkal I
2007	Tungkal II
2008	Bandung Ayu
2009	Napal Melintang
2010	Serang Bulan
2011	Suka Bandung
2012	Pagar Gading
2013	Cinto Mandi
2014	Kembang Seri
2015	Karang Cayo
2016	Tanjung Aur II
2017	Nanjungan
2018	Kemang Manis
2019	Padang Beriang
2020	Padang Serasan
2021	Telaga Dalam
:07	Kedurang Ilir
2001	Karang Caya
2002	Betungan
2003	Pagar Banyu
2004	Nanjungan
2005	Suka Rami
2006	Padang Bindu
2007	Penindaian
2008	Limus
2009	Sukaraja
2010	Lubuk Ladung
2011	Air Sulau
2012	Suka Jaya
:08	Air Nipis
2001	Keban Jati
2002	Tanjung Beringin
2003	Suka Negeri
2004	Sukarami
2005	Palak Bengkerung
2006	Sukamaju
2007	Pino Baru
2008	Penandingan
2009	Suka Bandung
2010	Maras
:09	Ulu Manna
2001	Batu Panco
2002	Batu Kuning
2003	Bandar Agung
2004	Merambung
2005	Simpang Pino
2006	Talang Tinggi
2007	Keban Jati
2008	Lubuk Tapi
2009	Kayu Ajaran
2010	Air Tenam Dalam
:10	Bunga Mas
2001	Tumbak Tebing
2002	Gunung Kayo
2003	Gindo Suli
2004	Talang Indah
2005	Kuripan
2006	Padang Nibung
2007	Tanjung Tebat
2008	Padang Jawi
2009	Tanjung Aur
2010	Padang Burnai
:11	Pasar Manna
2001	Batu Kuning
2002	Batu Lambang
1003	Tanjung Mulia
1004	Pasar Mulia
1005	Belakang Gedung
1006	Gunung Mesir
1007	Padang Sialang
1008	Ketapang Besar
1009	Pasar Bawah
.02	Rejang Lebong
:06	Kota Padang
2001	Derati
2002	Taba Anyar
2003	Suka Rami
1004	Kota Padang
2005	Lubuk Mumpo
2006	Durian Mas
1015	Bedeng SS.
1016	Dusun Baru
2018	Kota Padang Baru
2020	Tanjung Gelang
:07	Padang Ulak Tanding
2001	Karang Baru
2007	Guru Agung
2008	Belumai II
2009	Belumai I
2010	Ulak Tanding
1011	Pasar PU Tanding
2012	Tanjung Sanai I
2013	Muara Telita
2014	Ujan Panas
2021	Taba Tinggi
2022	Tanjung Sanai II
2025	Taktoi
2026	Kasie Kasubun
2027	Air Kati
2028	Bukit Batu
:08	Sindang Kelingi
2001	Sindang Jaya
2002	Sindang Jati
2003	Belitar Muka
2004	Pelalo
2005	Kayu Manis
1006	Beringin Tiga
2009	Air Dingin
2011	Belitar Seberang
2013	Cahaya Negeri
2014	Tanjung Aur
:09	Curup
1012	Dwi Tunggal
1013	Air Putih Lama
1023	Adirejo
1025	Air Rambai
1026	Pasar Baru
1027	Pasar Tengah
1031	Jalan Baru
1033	Talang Benih
1047	Timbul Rejo
:10	Bermani Ulu
2001	Air Mundu
2002	Tebat Tenong Dalam
2003	Baru Manis
2012	Kampung Melayu
2013	Sentral Baru
2015	Kampung Sajad
2016	Suka Rami
2017	Pagar Gunung
2018	Selamat Sudiarjo
2019	Purwodadi
2020	Air Pikat
2021	Tebat Pulau
:11	Selupu Rejang
2001	Air Putih Kali Bandung
2002	Air Meles Atas
